지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
강원도,128.56473,38.25085,13.3,9.3,17.5
북춘천(93),127.75443,37.94738,11.4,5.9,17.8
철원(95),127.3042,38.14787,11,5.4,16.9
동두천(98),127.0607,37.90188,11.8,6.8,18
파주(99),126.76648,37.88589,11.2,5.8,17.3
대관령(100),128.71834,37.67713,7.8,2.7,13.1
춘천(101),127.7357,37.90262,12.2,7.1,18
백령도(102),124.71237,37.97396,12.1,9.7,15
북강릉(104),128.85535,37.80456,13.1,8.9,17.5
강릉(105),128.89099,37.75147,14.3,10.4,18.6
동해(106),129.12433,37.50709,12.9,9.3,16.9
서울특별시,126.9658,37.57142,13.2,9.4,17.9
인천광역시,126.6249,37.47772,12.8,9.8,16.3
원주(114),127.94659,37.33749,12.8,8.2,17.9
울릉도(115),130.89863,37.48129,13.4,11,16.5
경기도,126.983,37.25746,12.9,8.5,18
영월(121),128.45743,37.18126,11.9,6.7,18.4
충청북도,127.9525,36.97045,12.1,6.8,18.1
충청남도,126.4939,36.77658,12.6,8,18
울진(130),129.41278,36.99176,13.4,9.1,18
청주(131),127.44066,36.63924,13.9,9.7,18.9
대전광역시,127.37211,36.37198,13.7,9.2,19.2
추풍령(135),127.99458,36.22025,12,7.1,17.4
안동(136),128.70733,36.57293,12.6,7.3,18.6
상주(137),128.15741,36.40837,13.1,8.2,18.8
포항(138),129.38002,36.03201,15.1,11.4,19.4
군산(140),126.76135,36.0053,13.4,9.4,18.2
대구광역시,128.65296,35.87797,14.5,9.8,20
전라북도,127.11718,35.84092,14,9.7,19.2
울산광역시,129.33469,35.58237,14.6,10.6,19.3
창원(155),128.57282,35.17019,14.4,10.5,19.3
광주광역시,126.89156,35.17294,14.5,10.5,19.6
부산광역시,129.03203,35.10468,15.2,11.9,19.4
통영(162),128.43561,34.84541,15,11.5,19.3
전라남도,126.38151,34.81732,14,11,17.5
여수(168),127.74063,34.73929,15.1,12.2,18.6
흑산도(169),125.45105,34.68719,14.1,11.8,17.4
완도(170),126.70182,34.3959,14.9,11.3,19.1
고창(172),126.599,35.34824,13.3,8.9,18.6
순천(174),127.3694,35.0204,13,8,18.9
홍성(177),126.68772,36.65759,12.8,8,18
제주특별자치도,126.52969,33.51411,16.7,14,20
고산(185),126.16283,33.29382,16,13.6,19
성산(188),126.8802,33.38677,16,12.6,19.5
서귀포(189),126.5653,33.24616,16.8,13.9,19.9
진주(192),128.04004,35.16378,13.7,8.3,20
강화(201),126.44634,37.70739,11.9,7.3,16.6
양평(202),127.49446,37.48863,12.5,7.7,18.1
이천(203),127.48421,37.26399,12.5,7.3,18.4
인제(211),128.16714,38.05986,11.2,6.2,17.3
홍천(212),127.88043,37.6836,11.6,6.3,18
태백(216),128.98929,37.17038,9.6,4.9,15
정선군(217),128.6459,37.38149,11,6,17.4
제천(221),128.19433,37.15928,11,5.3,17.1
보은(226),127.73415,36.48761,11.7,6.3,18
천안(232),127.29282,36.76217,12.2,7,18
보령(235),126.55744,36.32724,13.1,9.1,17.7
부여(236),126.92079,36.27242,12.8,7.7,18.9
금산(238),127.48175,36.10563,12.5,7.2,18.7
세종특별자치시,127.235,36.48639,13.1,8.5,18.5
부안(243),126.71657,35.72961,13.5,9.4,18.5
임실(244),127.28556,35.61203,12,6.9,18
정읍(245),126.83904,35.56337,13.2,8.8,18.5
남원(247),127.39652,35.4213,13.1,8.1,19.1
장수(248),127.52031,35.65696,11.2,6,17.3
고창군(251),126.697,35.42661,13.3,8.7,18.7
영광군(252),126.47784,35.28366,13.3,9,18.4
김해시(253),128.89075,35.22981,14.8,10.6,20.2
순창군(254),127.1286,35.37131,13,8,18.9
북창원(255),128.6726,35.22655,15.2,10.9,20.5
양산시(257),129.02009,35.30737,15,10.4,20.7
보성군(258),127.21226,34.76335,14.6,9.8,19.8
강진군(259),126.76715,34.6289,14.2,9.6,19.5
장흥(260),126.91951,34.68886,13.7,8.6,19.2
해남(261),126.56907,34.55375,13.4,8.3,18.8
고흥(262),127.27572,34.61826,13.6,8.7,19
의령군(263),128.28812,35.32258,13.9,8.3,20.7
함양군(264),127.74538,35.51138,13,7.5,19.7
광양시(266),127.6914,34.9434,15,11,20
진도군(268),126.25846,34.47296,14.2,10.1,18.5
봉화(271),128.91449,36.94361,10.8,5.3,16.9
영주(272),128.51687,36.87183,12,6.7,17.6
문경(273),128.14879,36.62727,12.5,7.5,18
청송군(276),129.04005,36.4351,11.5,5.7,18.5
영덕(277),129.40926,36.53337,13.5,9.1,18.7
의성(278),128.68864,36.3561,12.3,6.1,19.5
경상북도,128.32055,36.13055,13.9,9,19.6
영천(281),128.9514,35.97742,13.3,7.9,19.3
경주시(283),129.2009,35.8174,13.9,8.7,19.9
거창(284),127.9099,35.66739,12.5,6.8,19.1
합천(285),128.16994,35.56505,13.5,8.1,20
밀양(288),128.74412,35.49147,14.1,8.7,20.3
산청(289),127.8791,35.413,13.3,8.3,19.3
거제(294),128.60459,34.88818,14.7,11.1,19.1
경상남도,127.92641,34.81662,14.6,10.6,19.4
