년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,경북,1.5,-2.4,6
1973-02,경북,2.3,-2.3,7.3
1973-03,경북,5.7,-0.6,12.2
1973-04,경북,13.4,6.7,19.7
1973-05,경북,17.1,11.1,22.8
1973-06,경북,20.6,15.8,25.9
1973-07,경북,26.9,22.3,32.2
1973-08,경북,26.8,22.2,32.2
1973-09,경북,19.7,14.8,25.7
1973-10,경북,13,7.6,19
1973-11,경북,6,0.6,12
1973-12,경북,-1.2,-6.8,5
1974-01,경북,-2.1,-7.8,4.9
1974-02,경북,-0.6,-5.1,4.4
1974-03,경북,4.6,-0.5,10.4
1974-04,경북,12,5.5,18.5
1974-05,경북,17.2,11,23.5
1974-06,경북,20.3,14.8,26.2
1974-07,경북,21.7,18.9,25.3
1974-08,경북,25.2,20.8,30.4
1974-09,경북,19.4,13.5,26.1
1974-10,경북,13.6,7.9,20.2
1974-11,경북,5.8,0.3,12.7
1974-12,경북,0.9,-3.6,5.9
1975-01,경북,-0.8,-5,4.1
1975-02,경북,0.5,-4.3,5.7
1975-03,경북,5.4,-0.2,11.3
1975-04,경북,12.3,6.4,18.3
1975-05,경북,16.5,11.1,22.1
1975-06,경북,20.8,16.4,26
1975-07,경북,25.1,21.2,29.7
1975-08,경북,25.8,21.2,31.4
1975-09,경북,22.1,18,27.2
1975-10,경북,15,10.2,20.3
1975-11,경북,9.2,4.8,14.5
1975-12,경북,0.9,-3.8,6.5
1976-01,경북,-2,-7.4,4.1
1976-02,경북,2.9,-1.9,8.6
1976-03,경북,5.7,0.5,11.4
1976-04,경북,11.4,5.4,17.3
1976-05,경북,16.7,10.2,23.2
1976-06,경북,20.8,16,25.9
1976-07,경북,22.9,18.9,27.4
1976-08,경북,24.1,20.6,28.6
1976-09,경북,18.9,13.7,24.9
1976-10,경북,13.8,8,20.4
1976-11,경북,4.9,-0.2,11
1976-12,경북,1,-3.7,6.6
1977-01,경북,-4.4,-9.4,1.2
1977-02,경북,-0.9,-7.5,6.2
1977-03,경북,6,0.7,12.1
1977-04,경북,12.8,6.7,19
1977-05,경북,17.7,11.2,23.8
1977-06,경북,20.8,16.1,26.1
1977-07,경북,26.2,22,31
1977-08,경북,23.5,19.1,28.5
1977-09,경북,20.9,16.2,26.6
1977-10,경북,15.7,9.5,23.6
1977-11,경북,8.1,3.7,13.4
1977-12,경북,3.3,-1.8,9.6
1978-01,경북,0,-4.3,5.2
1978-02,경북,0,-4.7,5.2
1978-03,경북,5.5,-0.1,11.6
1978-04,경북,12.8,6,19.7
1978-05,경북,18.1,10.4,25.5
1978-06,경북,21.8,16.9,27.1
1978-07,경북,26.6,22.7,31.6
1978-08,경북,26.1,22.2,31.1
1978-09,경북,20.2,15.6,26.1
1978-10,경북,14.1,8,21.1
1978-11,경북,8.6,3.8,14.3
1978-12,경북,2.9,-2.1,9.1
1979-01,경북,1.6,-3.4,7.5
1979-02,경북,2.8,-2.1,8.6
1979-03,경북,6.5,0.9,12.6
1979-04,경북,11.5,5.8,16.9
1979-05,경북,16.5,10.1,22.8
1979-06,경북,22,17.7,26.9
1979-07,경북,24.2,20.5,28.5
1979-08,경북,24.8,20.8,29.6
1979-09,경북,19.4,15.1,24.8
1979-10,경북,14.9,8.3,22.8
1979-11,경북,6.7,0.9,13.5
1979-12,경북,2.4,-2.7,8.6
1980-01,경북,-1.3,-6.3,4.3
1980-02,경북,-1.1,-6.5,5
1980-03,경북,5.9,0.4,11.9
1980-04,경북,10.8,5.1,16.5
1980-05,경북,17.3,10.7,24.1
1980-06,경북,22.4,17.6,27.9
1980-07,경북,22.5,19.2,26.6
1980-08,경북,21.5,18.9,25.1
1980-09,경북,18.8,13.7,24.9
1980-10,경북,12.9,7.6,19.1
1980-11,경북,8.3,2.4,15.5
1980-12,경북,-1.4,-5.9,4.2
1981-01,경북,-4.3,-9.6,1.5
1981-02,경북,-0.3,-4.9,5
1981-03,경북,6,0.1,12.6
1981-04,경북,12.8,6.5,19.4
1981-05,경북,17.1,10.4,23.9
1981-06,경북,21,15.7,26.8
