지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
강원도,128.56473,38.25085,11,7.5,14.4
대관령(100),128.758698,37.686924,5.6,0.4,11
춘천(101),127.7357,37.90262,9.9,4.8,16
강릉(105),128.89099,37.75147,11.6,7.8,16
서울특별시,126.96579167,37.57141111,11.1,7.2,15.9
인천광역시,126.62436,37.47759,10.6,7.2,14.6
원주(114),127.94659,37.33749,9.4,4,15.7
울릉도,130.89863,37.48129,11.2,8.6,14.8
경기도,126.98533,37.27226,10.2,5,15.9
충청북도,127.9525,36.97045,10.1,4.5,16.3
충청남도,126.4939,36.77658,10.7,6.3,16.2
울진(130),129.41278,36.99176,11.7,7.1,16.6
청주(131),127.44066,36.63924,10.4,5.5,16.2
대전광역시,127.37211,36.37198,10.9,6.4,16.6
추풍령(135),127.99458,36.22025,10.8,6,16.4
안동(136),128.70726,36.573044,11,5.5,17.4
포항(138),129.38002,36.03201,12.7,8.3,17.8
군산(140),126.705696,35.992958,11.7,8.2,15.7
대구광역시,128.6522,35.828233,12.6,7.6,18.3
전라북도,127.15496,35.8215,12.2,7.6,17.6
울산광역시,129.32026,35.56014,12.9,8.2,18.1
광주광역시,126.89156,35.17294,12.5,7.9,17.9
부산광역시,129.03203,35.10468,13.6,10.4,17.7
통영(162),128.43561,34.84541,13.7,10.1,17.9
전라남도,126.38121,34.81689,13,9.6,17.6
여수(168),127.74063,34.73929,13.4,10.3,17.2
완도(170),126.70182,34.3959,13.2,8.7,17.1
제주특별자치도,126.52969,33.51411,14.8,11.4,18.2
성산(188),126.880394,33.386822,14.5,10.5,18.1
서귀포(189),126.565331,33.24612,15.5,12.1,19
진주(192),128.11911,35.208447,12.8,7.7,18.3
강화(201),126.44634,37.70739,9.8,5.1,15
양평(202),127.49446,37.48863,9.6,3.9,16
이천(203),127.48421,37.26399,9.9,4.6,15.5
인제(211),128.16714,38.05986,8.9,3.2,15.2
홍천(212),127.88043,37.6836,9.1,3.6,16.5
삼척(214),129.21666667,37.36666667,11.4,6.9,16.6
제천(221),128.19433,37.15928,9.1,3.6,15.2
보은(226),127.73415,36.48761,9.9,3.7,16.1
세종특별자치시,127.12126805,36.77962166,10.6,5.5,16.2
보령(235),126.55744,36.32724,10.9,6.2,16.1
부여(236),126.92079,36.27242,11.1,5.7,16.9
금산(238),127.48175,36.10563,10.5,5,16.4
부안(243),126.71657,35.72961,11.3,6.8,16.5
임실(244),127.28556,35.61203,10.6,4.5,16.5
정읍(245),126.86611,35.56317,11.7,6.5,17.1
남원(247),127.33303,35.40536,11.7,6.2,18.5
순천(256),127.239113,35.074982,11.9,6.9,17.7
장흥(260),126.91951,34.68886,12.3,7.5,18.1
해남(261),126.56907,34.55375,12.7,8.2,17.7
고흥(262),127.27571,34.61824,12.9,7.6,18.6
성산포(265),126.880394,33.386822,14.5,10.5,18.1
영주(272),128.51687,36.87183,10,4.3,16.7
문경(273),128.14879,36.62727,11.3,5.7,17.4
영덕(277),129.40926,36.53337,11.9,7.1,17.1
의성(278),128.68864,36.3561,10.5,4.6,17.4
경상북도,128.32055,36.13055,11.2,5.7,17.3
영천(281),128.9514,35.97742,11.6,6.2,17.8
거창(284),127.911011,35.671211,10.8,5.3,17.1
합천(285),128.16994,35.56505,12.1,7,18.1
밀양(288),128.74412,35.49147,12.3,6.7,18.5
산청(289),127.8791,35.413,12.1,6.9,18.1
거제(294),128.60459,34.88818,13.1,8.7,17.6
경상남도,127.92641,34.81662,13,8.3,18.1
,,,13,8.6,17.7
,,,11.8,6.5,17.7
,,,10.4,5.1,16.2
,,,10.8,5.4,16.7
,,,10.6,6.1,15.6
,,,11.8,5.8,18
,,,10,4,16.9
,,,11.8,6.3,17.3
,,,14.6,10.2,18.6
,,,10.4,5.5,15.8
,,,10.2,4.5,16.2
,,,11.6,7.1,16.8
,,,14.3,10.2,18.4
,,,11.6,5.7,18
,,,10,4.6,16.4
,,,12.6,7.6,18
,,,12.6,7.8,17.6
,,,11.7,6.1,17.8
,,,14.5,10.5,18.1
,,,10.1,4.6,16.2
,,,14.8,11.1,18.5
,,,12.2,7.7,17.5
,,,12.2,7.5,17.4
,,,10,5.1,15.3
,,,12.1,6.6,18.1
,,,10.9,5,17.2
,,,13,8,18.1
,,,12.1,6.2,17.9
,,,12.1,6.4,18.6
,,,12.2,6,18.3
,,,13.1,8.7,17.9
,,,12.3,7.4,17.8
,,,11.4,6.2,17.3
,,,11.5,6.1,17.3
,,,10.5,4.7,17.1
,,,9.8,4.2,16.4
,,,12.6,7.5,18.3
,,,,,
,,,11.7,6,18.1
