년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,강원영동,0.9,-1.7,4.3
1973-02,강원영동,2.4,-1.1,6.6
1973-03,강원영동,5,0.8,9.3
1973-04,강원영동,13.4,8.6,18.3
1973-05,강원영동,16.3,12.3,20.7
1973-06,강원영동,18.9,16.1,21.4
1973-07,강원영동,25.4,22.3,29.1
1973-08,강원영동,26.2,23.1,29.7
1973-09,강원영동,19.4,15.9,23.1
1973-10,강원영동,13.9,9.9,17.9
1973-11,강원영동,7.6,3.4,11.5
1973-12,강원영동,0.6,-3.6,5.2
1974-01,강원영동,-0.6,-4.1,3.5
1974-02,강원영동,-0.4,-3.7,3
1974-03,강원영동,4.2,0.4,8.2
1974-04,강원영동,11.3,6.8,15.7
1974-05,강원영동,16.2,11.8,20.6
1974-06,강원영동,18.5,14.3,22.7
1974-07,강원영동,18.8,17.1,20.9
1974-08,강원영동,23.9,20.8,27.4
1974-09,강원영동,20.2,16.4,24.6
1974-10,강원영동,14.4,10.3,18.5
1974-11,강원영동,7.7,3.4,12.4
1974-12,강원영동,1.6,-1.8,5.2
1975-01,강원영동,-0.1,-3.7,4
1975-02,강원영동,0.2,-3.5,4
1975-03,강원영동,4.8,0.9,8.7
1975-04,강원영동,11.5,7.3,15.6
1975-05,강원영동,15.7,12,19.4
1975-06,강원영동,19.1,16.5,21.9
1975-07,강원영동,24.2,21.3,27.6
1975-08,강원영동,25.6,21.8,29.1
1975-09,강원영동,21.3,18,24.6
1975-10,강원영동,14.9,11,18.8
1975-11,강원영동,9.7,6,13.2
1975-12,강원영동,2.3,-1.3,6.7
1976-01,강원영동,-0.3,-4.5,4.3
1976-02,강원영동,3.2,-0.1,7
1976-03,강원영동,6.2,2.4,10.1
1976-04,강원영동,11.8,7.2,16
1976-05,강원영동,17.4,12.5,22.1
1976-06,강원영동,19.8,16.5,23.3
1976-07,강원영동,22.5,19.3,25.6
1976-08,강원영동,22.7,19.9,25.8
1976-09,강원영동,19.1,15.3,23
1976-10,강원영동,14.8,10.6,18.7
1976-11,강원영동,6.7,2.5,11.1
1976-12,강원영동,2.4,-1.4,6.3
1977-01,강원영동,-3.2,-6.6,1.2
1977-02,강원영동,0.2,-4.1,4.8
1977-03,강원영동,5.3,1.2,9.4
1977-04,강원영동,11.6,6.8,16.5
1977-05,강원영동,16.5,12.4,20.9
1977-06,강원영동,18.6,15.8,22
1977-07,강원영동,24.8,21.9,28.6
1977-08,강원영동,22.9,19.9,26.3
1977-09,강원영동,20.4,17,24.2
1977-10,강원영동,16.9,12.9,21.4
1977-11,강원영동,8.5,5.1,12.2
1977-12,강원영동,5,1.8,9
1978-01,강원영동,0.4,-3.2,4.5
1978-02,강원영동,-0.7,-4.4,3.3
1978-03,강원영동,5.8,1.7,10.2
