지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,2085.8
북춘천(93),127.75443,37.94738,1561.4
철원(95),127.3042,38.14787,1749.3
동두천(98),127.0607,37.90188,1641.9
파주(99),126.76648,37.88589,1612.3
대관령(100),128.71834,37.67713,1755.8
춘천(101),127.7357,37.90262,1550.9
백령도(102),124.71237,37.97396,1258.4
북강릉(104),128.85535,37.80456,1801.7
강릉(105),128.89099,37.75147,1812.9
동해(106),129.12433,37.50709,1322.4
서울(108),126.9658,37.57142,1651.1
인천(112),126.6249,37.47772,1311.9
원주(114),127.94659,37.33749,1317
울릉도(115),130.89863,37.48129,1462
수원(119),126.983,37.25746,1635.5
영월(121),128.45743,37.18126,1344.1
충주(127),127.9525,36.97045,1446.5
서산(129),126.4939,36.77658,1488.7
울진(130),129.41278,36.99176,1336.2
청주(131),127.44066,36.63924,1358.6
대전(133),127.37211,36.37198,1614
추풍령(135),127.99458,36.22025,1554
안동(136),128.70733,36.57293,1211.8
상주(137),128.15741,36.40837,1563.7
포항(138),129.38002,36.03201,1238.9
군산(140),126.76135,36.0053,1664.8
대구(143),128.65296,35.87797,1244.9
전주(146),127.11718,35.84092,1780.8
울산(152),129.33469,35.58237,1557.9
창원(155),128.57282,35.17019,1672.8
광주(156),126.89156,35.17294,2027
부산(159),129.03203,35.10468,2281.6
통영(162),128.43561,34.84541,2137.7
목포(165),126.38151,34.81732,1427.7
여수(168),127.74063,34.73929,1751.9
흑산도(169),125.45105,34.68719,1187.2
완도(170),126.70182,34.3959,1580.7
고창(172),126.599,35.34824,1554.7
순천(174),127.3694,35.0204,1906.1
홍성(177),126.68772,36.65759,1609.7
제주(184),126.52969,33.51411,1389.5
고산(185),126.16283,33.29382,1228.9
성산(188),126.8802,33.38677,2116.2
서귀포(189),126.5653,33.24616,2089.6
진주(192),128.04004,35.16378,1812.7
강화(201),126.44634,37.70739,1436.9
양평(202),127.49446,37.48863,1366.4
이천(203),127.48421,37.26399,1668.8
인제(211),128.16714,38.05986,1429.1
홍천(212),127.88043,37.6836,1485.8
태백(216),128.98929,37.17038,1530.1
정선군(217),128.6459,37.38149,1305.4
제천(221),128.19433,37.15928,1551.8
보은(226),127.73415,36.48761,1768.8
천안(232),127.29282,36.76217,1443.5
보령(235),126.55744,36.32724,1301.9
부여(236),126.92079,36.27242,1624.8
금산(238),127.48175,36.10563,1758.2
세종(예)(239),127.235,36.48639,1685.8
부안(243),126.71657,35.72961,1694.8
임실(244),127.28556,35.61203,1869.8
정읍(245),126.83904,35.56337,1718.9
남원(247),127.39652,35.4213,2007.2
장수(248),127.52031,35.65696,2126
고창군(251),126.697,35.42661,1671.7
영광군(252),126.47784,35.28366,1787.9
김해시(253),128.89075,35.22981,1702.5
순창군(254),127.1286,35.37131,2133.7
북창원(255),128.6726,35.22655,1798.6
양산시(257),129.02009,35.30737,1892.5
보성군(258),127.21226,34.76335,1716.2
강진군(259),126.76715,34.6289,1654.4
장흥(260),126.91951,34.68886,1692.2
해남(261),126.56907,34.55375,1450.3
고흥(262),127.27572,34.61826,1520.2
의령군(263),128.28812,35.32258,1747.5
함양군(264),127.74538,35.51138,1910.6
광양시(266),127.6914,34.9434,1821
진도군(268),126.25846,34.47296,1515.5
봉화(271),128.91449,36.94361,1297.3
영주(272),128.51687,36.87183,1499.9
문경(273),128.14879,36.62727,1694.4
청송군(276),129.04005,36.4351,1285.8
영덕(277),129.40926,36.53337,1308.8
의성(278),128.68864,36.3561,1128.9
구미(279),128.32055,36.13055,1469.5
영천(281),128.9514,35.97742,1234.5
경주시(283),129.2009,35.8174,1371.6
거창(284),127.9099,35.66739,1726.7
합천(285),128.16994,35.56505,1733.5
밀양(288),128.74412,35.49147,1398.8
산청(289),127.8791,35.413,2136.8
거제(294),128.60459,34.88818,2481.8
남해(295),127.92641,34.81662,2258
