기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 경남
기간 : 1973~2021 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,경남,2.8,-0.9,7.3
1973-02,경남,3.5,-1,8.5
1973-03,경남,6.7,0.6,13.1
1973-04,경남,13.6,7.7,19.4
1973-05,경남,17.4,12.2,22.6
1973-06,경남,21.1,16.6,26.2
1973-07,경남,26.9,23.1,31.6
1973-08,경남,26.9,22.9,31.7
1973-09,경남,20.3,16.1,25.8
1973-10,경남,14,8.8,19.8
1973-11,경남,7.3,1.8,13.6
1973-12,경남,0.4,-4.9,6.7
1974-01,경남,-0.4,-5.6,6.3
1974-02,경남,0.9,-3.7,6.1
1974-03,경남,5.4,0.4,11
1974-04,경남,12.7,6.6,18.6
1974-05,경남,17.5,11.7,23.3
1974-06,경남,20.4,15.3,25.9
1974-07,경남,22.2,19.9,25.4
1974-08,경남,25.4,21.6,30.2
1974-09,경남,20.2,14.9,26.5
1974-10,경남,14.5,9.1,20.6
1974-11,경남,7.4,2.1,14
1974-12,경남,2.5,-1.5,7.5
1975-01,경남,0.6,-3.6,5.4
1975-02,경남,1.8,-2.9,6.9
1975-03,경남,6.5,0.6,12.8
1975-04,경남,12.7,7.5,18.2
1975-05,경남,16.6,11.5,22
1975-06,경남,20.8,16.4,25.8
1975-07,경남,25.2,21.8,29.2
1975-08,경남,26.3,22.1,31.2
1975-09,경남,23,19.3,27.7
1975-10,경남,16,11.5,21.1
1975-11,경남,10.1,5.5,15.3
1975-12,경남,2.1,-2.6,7.9
1976-01,경남,-0.7,-6,5.5
1976-02,경남,4.2,-0.6,10
1976-03,경남,6.6,1.3,12.2
1976-04,경남,11.9,6.3,17.5
1976-05,경남,16.5,10.7,22.3
1976-06,경남,20.5,16.3,25.1
1976-07,경남,22.8,19.5,26.7
1976-08,경남,25,21.6,29.3
1976-09,경남,19.3,14.5,24.9
1976-10,경남,14.7,9.1,21
1976-11,경남,6.1,1.1,11.9
1976-12,경남,2.4,-2.2,8.3
1977-01,경남,-2.9,-7.8,2.6
1977-02,경남,0.2,-6.1,7.1
1977-03,경남,7.2,2.3,12.6
1977-04,경남,13.5,8,19
1977-05,경남,17.5,12,23.1
1977-06,경남,20.8,16.6,25.6
1977-07,경남,25.9,22.2,30.3
1977-08,경남,24.1,20.1,28.6
1977-09,경남,21.7,17.1,27.1
1977-10,경남,16.7,10.5,24.3
1977-11,경남,9.2,4.3,14.6
1977-12,경남,4.5,-0.8,11.1
1978-01,경남,1.4,-3.1,6.7
1978-02,경남,1.3,-3.9,6.9
1978-03,경남,6.5,0.5,12.7
1978-04,경남,13.3,6.6,20.1
1978-05,경남,18.4,10.9,25.8
1978-06,경남,21.7,17.3,26.6
1978-07,경남,27,23.5,31.4
1978-08,경남,26.5,22.8,31.3
1978-09,경남,20.9,16.1,26.7
1978-10,경남,14.8,9.1,21.7
1978-11,경남,9.6,4.8,15.5
1978-12,경남,3.6,-1.7,10.5
1979-01,경남,2.5,-2.6,8.5
1979-02,경남,3.9,-1.1,9.8
1979-03,경남,7.3,1.4,13.7
