扁柯盒籍
[八祸炼扒]
磊丰备盒 : 岿
磊丰屈怕 : 扁夯
瘤开/瘤痢 : 傈合
扁埃 : 1973~2021 01~12

斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
1973-01,傈合,1.4,-2.1,5.6
1973-02,傈合,1.7,-2.2,6.2
1973-03,傈合,4.8,-0.8,11.1
1973-04,傈合,12.8,6.4,19.1
1973-05,傈合,16.7,11.2,22.5
1973-06,傈合,21.4,16.8,26.9
1973-07,傈合,27,22.6,32
1973-08,傈合,26.8,22.7,31.7
1973-09,傈合,20.2,15.7,25.8
1973-10,傈合,13.3,7.9,19.2
1973-11,傈合,6.4,1.1,12.1
1973-12,傈合,-0.5,-5.2,4.8
1974-01,傈合,-1.4,-5.6,4.1
1974-02,傈合,-0.3,-4.7,4.5
1974-03,傈合,4.2,-0.6,9.7
1974-04,傈合,11.7,6.1,17.7
1974-05,傈合,16.9,11,22.9
1974-06,傈合,19.8,14.3,25.6
1974-07,傈合,23.5,20.5,27.1
1974-08,傈合,25.7,21.1,30.7
1974-09,傈合,20.1,14.7,25.9
1974-10,傈合,13.2,7.7,19.2
1974-11,傈合,6.3,1.3,12
1974-12,傈合,1.3,-2.3,5.4
1975-01,傈合,-0.6,-4.5,3.8
1975-02,傈合,0.3,-4.3,5.1
1975-03,傈合,4.7,-0.4,10.4
1975-04,傈合,12.6,7.2,18.7
1975-05,傈合,16.3,11.3,22.1
1975-06,傈合,20.9,16.6,26.3
1975-07,傈合,25.5,22.1,29.8
1975-08,傈合,27.2,22.8,32.2
1975-09,傈合,23,18.8,28.1
1975-10,傈合,15.6,10.7,21
1975-11,傈合,9.5,4.4,14.9
1975-12,傈合,0.2,-4.2,5.4
1976-01,傈合,-2.2,-7.6,3.2
1976-02,傈合,3.7,-0.7,9
1976-03,傈合,5.2,0.3,10.9
1976-04,傈合,11.1,5.2,17.5
1976-05,傈合,16.2,10,22.6
1976-06,傈合,21,16.3,26.3
1976-07,傈合,23.4,19.6,28.1
1976-08,傈合,25.8,22.2,30.3
1976-09,傈合,19.6,14.2,25.6
1976-10,傈合,14.2,8.8,20.4
1976-11,傈合,5.3,0.3,10.8
1976-12,傈合,1.6,-2.8,6.8
1977-01,傈合,-4.5,-8.8,0.2
1977-02,傈合,-1.2,-6.6,4.7
1977-03,傈合,6,0.7,12
1977-04,傈合,12.8,7.3,18.9
1977-05,傈合,16.9,11.5,23.2
1977-06,傈合,21.8,17.3,27.8
1977-07,傈合,26.7,22.9,31.6
1977-08,傈合,24.5,20.2,29.5
1977-09,傈合,21.8,17.1,27.6
1977-10,傈合,16.1,9.6,23.9
1977-11,傈合,8.1,3.4,13.4
1977-12,傈合,3.9,-0.8,9.6
1978-01,傈合,0,-4.4,4.6
1978-02,傈合,-0.5,-5.1,4.8
1978-03,傈合,4.7,-0.8,10.9
1978-04,傈合,12.4,5.7,19.8
1978-05,傈合,18,10.7,25.9
1978-06,傈合,22.1,17.5,27.4
1978-07,傈合,27.9,23.9,32.6
1978-08,傈合,26.7,22.9,31.7
1978-09,傈合,21,16.2,26.6
1978-10,傈合,14.6,8.7,21.4
1978-11,傈合,8.1,3.3,13.5
1978-12,傈合,3,-1.8,8.5
1979-01,傈合,2.7,-1.8,7.4
1979-02,傈合,2.7,-1.7,7.9
1979-03,傈合,6.1,0.2,12.6
1979-04,傈合,11.4,5.5,17.1
1979-05,傈合,16.1,9.9,22.4
1979-06,傈合,22.1,18.3,26.5
1979-07,傈合,24.8,21.1,29.3
1979-08,傈合,25.6,21.5,30.5
1979-09,傈合,19.4,14.8,24.9
1979-10,傈合,15.1,8.7,22.6
1979-11,傈合,6.9,1.9,12.8
1979-12,傈合,2.5,-2.3,7.7
1980-01,傈合,-0.7,-5.2,3.8
1980-02,傈合,-1.5,-6.2,3.6
1980-03,傈合,5,0,10.9
1980-04,傈合,10.9,5.2,17
1980-05,傈合,16.5,10.5,22.8
1980-06,傈合,21.5,17.2,26.8
1980-07,傈合,23.3,20.3,27.4
1980-08,傈合,23,19.6,27.2
1980-09,傈合,19.3,13.9,25.4
1980-10,傈合,13.2,7.9,19
1980-11,傈合,9,3.5,15.4
1980-12,傈合,-0.7,-5,3.8
1981-01,傈合,-4.6,-10,0.5
1981-02,傈合,-0.2,-4.8,4.6
1981-03,傈合,6.1,0.1,13.2
1981-04,傈合,11.5,5.3,18.2
1981-05,傈合,17.1,10.6,23.4
1981-06,傈合,21.6,16.4,27.3
1981-07,傈合,26.3,22.3,30.9
1981-08,傈合,24.8,20.5,29.7
1981-09,傈合,19.9,15.1,25.9
