扁柯盒籍
[八祸炼扒]
磊丰备盒 : 岿
磊丰屈怕 : 扁夯
瘤开/瘤痢 : 力林
扁埃 : 1973~2021 01~12

斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
1973-01,力林,7.5,4.4,10.7
1973-02,力林,7.6,4.3,11
1973-03,力林,9.6,5.6,13.2
1973-04,力林,14.8,10.9,18.2
1973-05,力林,17.7,14,21.3
1973-06,力林,21.1,18.2,24.3
1973-07,力林,26.3,23.7,29.2
1973-08,力林,26.7,23.7,29.8
1973-09,力林,22.2,19,25.6
1973-10,力林,17.4,14.1,20.8
1973-11,力林,11.7,7.7,15.6
1973-12,力林,6.4,2.8,9.9
1974-01,力林,5.8,2.5,9.5
1974-02,力林,5.7,2.5,9
1974-03,力林,8.7,5,12.2
1974-04,力林,14,9.7,18
1974-05,力林,17.8,14.1,21.6
1974-06,力林,19.9,16.3,23.6
1974-07,力林,23.2,21.4,25.6
1974-08,力林,26.2,23.3,29.2
1974-09,力林,22.4,18.9,26
1974-10,力林,18,14.1,21.7
1974-11,力林,12.3,8.5,16
1974-12,力林,8,5.2,10.9
1975-01,力林,5.8,2.8,8.7
1975-02,力林,6.1,2.8,9.2
1975-03,力林,9,4.7,12.9
1975-04,力林,13.6,10.1,16.9
1975-05,力林,16.5,13.2,19.7
1975-06,力林,20.5,17.5,23.9
1975-07,力林,26,23.6,28.8
1975-08,力林,27.7,24.8,30.8
1975-09,力林,25.2,22.1,28.4
1975-10,力林,19.5,16.6,22.8
1975-11,力林,14.2,11.2,17.3
1975-12,力林,7.6,4.7,10.7
1976-01,力林,4.9,1.6,8.2
1976-02,力林,8.7,5.4,12.6
1976-03,力林,9,5.6,12.3
1976-04,力林,13.1,9.4,16.8
1976-05,力林,16.7,13,20.2
1976-06,力林,20,17.2,22.8
1976-07,力林,22.9,20.4,25.6
1976-08,力林,27,24.1,30.1
1976-09,力林,21.3,17.8,24.6
1976-10,力林,17.6,13.7,21.4
1976-11,力林,11.1,7.5,14.6
1976-12,力林,8,4.5,11.4
1977-01,力林,3.2,0.4,5.9
1977-02,力林,4.5,0.8,8.1
1977-03,力林,9.9,6.2,13.5
1977-04,力林,14.7,10.9,18.1
1977-05,力林,17,13.9,20.5
1977-06,力林,20,17.3,23.1
1977-07,力林,26.6,23.9,29.7
1977-08,力林,25.1,22.2,27.9
1977-09,力林,23.3,20.4,26.3
1977-10,力林,19.3,15.3,23.3
1977-11,力林,13.5,10,16.8
1977-12,力林,9.7,6,13.8
1978-01,力林,6.5,3.2,9.5
1978-02,力林,5.7,2.2,9.4
1978-03,力林,8.8,4.9,12.4
1978-04,力林,13.7,9.5,17.7
1978-05,力林,18.4,14.5,22.1
1978-06,力林,22.1,19,25.1
1978-07,力林,27.2,24.6,30.2
1978-08,力林,27.1,24.4,30.1
1978-09,力林,23.2,20,26.6
1978-10,力林,18.4,14.7,22.1
1978-11,力林,13.5,10,17
1978-12,力林,9.2,5.4,13.2
1979-01,力林,7.9,4.6,11.5
1979-02,力林,7.9,4.3,11.4
1979-03,力林,10,5.9,13.8
1979-04,力林,13.4,9.4,17
1979-05,力林,17.7,13.6,21.5
1979-06,力林,22.1,19.5,24.8
1979-07,力林,24.6,21.9,27.4
1979-08,力林,26.5,23.3,29.7
1979-09,力林,22.7,19.5,26
1979-10,力林,19,14.5,23.3
1979-11,力林,12.6,8.9,16.2
1979-12,力林,9.5,5.9,13.2
1980-01,力林,6.3,3.3,9.2
1980-02,力林,4.8,1.5,8
1980-03,力林,9.2,5.6,12.4
1980-04,力林,13.7,9.5,17.2
1980-05,力林,17.5,13.4,21.3
1980-06,力林,21.4,18.7,24.7
1980-07,力林,24.2,21.9,26.9
1980-08,力林,23.8,21.4,26.3
1980-09,力林,21.5,18.1,24.9
1980-10,力林,17.6,14,20.9
1980-11,力林,13.5,9.5,17.7
1980-12,力林,6.3,3,9.7
1981-01,力林,4.1,0.8,7.4
1981-02,力林,5.8,2.4,8.9
1981-03,力林,10,6.2,13.7
1981-04,力林,13.6,9.8,16.9
1981-05,力林,17.5,13.5,21.5
1981-06,力林,21.4,18.6,24.4
1981-07,力林,27.3,24.8,30.1
1981-08,力林,26.7,23.8,30
1981-09,力林,22.3,19.1,25.9
1981-10,力林,17.4,13.7,21.1
1981-11,力林,11,7.5,14.6
1981-12,力林,7.6,3.7,11.3
1982-01,力林,5.3,1.6,8.8
1982-02,力林,6.6,3.1,10.2
1982-03,力林,10.3,6.3,13.8
1982-04,力林,13.4,9.5,17
1982-05,力林,19,15.6,22.7
1982-06,力林,21.4,18.1,24.8
1982-07,力林,24.2,21.6,27.2
1982-08,力林,26.4,23.8,29.4
1982-09,力林,21.9,18.7,25.2
1982-10,力林,19,15.5,22.9
1982-11,力林,14.3,11.2,17.6
1982-12,力林,8.3,4.8,12.2
1983-01,力林,6.2,3,9.8
1983-02,力林,5.8,2.1,9.7
1983-03,力林,9.9,6.8,13.3
1983-04,力林,15,11,18.7
1983-05,力林,18,14.4,21.8
1983-06,力林,20.7,17.8,24.1
1983-07,力林,24.9,22.4,27.7
1983-08,力林,26.9,24.4,30
1983-09,力林,23.9,21.3,27.2
1983-10,力林,18.8,15.6,22.4
1983-11,力林,12.2,8.8,16.1
1983-12,力林,7,3.8,10.7
1984-01,力林,3.5,0.9,6.8
1984-02,力林,3.9,1,7.3
1984-03,力林,7.5,4,11.2
1984-04,力林,13.5,10,17.1
1984-05,力林,17.4,13.8,20.8
1984-06,力林,21.8,19,24.8
1984-07,力林,26.3,23.7,29.6
1984-08,力林,27.1,24.5,30.1
1984-09,力林,22.7,19.3,26.3
1984-10,力林,17.7,14,21.7
1984-11,力林,13.7,10.2,17.9
1984-12,力林,7.9,4.9,11.1
1985-01,力林,4.3,1.4,8.1
1985-02,力林,6.8,3.9,9.9
1985-03,力林,9.1,6,12.7
1985-04,力林,13.8,9.8,17.7
1985-05,力林,18.4,15.2,21.8
1985-06,力林,21.3,18.7,24.3
1985-07,力林,26.5,23.8,29.5
1985-08,力林,27.2,24.6,30.2
1985-09,力林,24.5,21.5,27.8
1985-10,力林,18.6,15.5,22.2
1985-11,力林,12.1,8.8,15.8
1985-12,力林,6.5,3.2,10
1986-01,力林,4.7,1.6,8.1
1986-02,力林,4.2,1.1,7.8
1986-03,力林,9.2,5.7,13.2
1986-04,力林,13.8,10.1,17.4
1986-05,力林,17.8,14.1,21.6
1986-06,力林,21.6,18.6,25.1
1986-07,力林,24,21.7,26.9
1986-08,力林,26.5,23.3,29.9
1986-09,力林,21.5,18.5,24.8
1986-10,力林,16.8,13.3,20.9
1986-11,力林,12.4,9.2,16.1
1986-12,力林,9.5,5.9,13.3
1987-01,力林,6.5,3.1,10.4
1987-02,力林,7.2,3.8,11.2
1987-03,力林,9.1,5.8,12.7
1987-04,力林,13.6,9.7,17.6
1987-05,力林,17.5,14.1,21.1
1987-06,力林,21.4,18.2,24.9
1987-07,力林,24.5,22.5,27.2
1987-08,力林,26.5,23.8,29.7
1987-09,力林,22.1,19,25.3
1987-10,力林,19.5,16.4,23
1987-11,力林,13.9,10.4,18.1
1987-12,力林,8.7,5.4,12.7
1988-01,力林,6.9,3.7,10.5
1988-02,力林,5.9,2.7,9.3
1988-03,力林,8.5,5.3,11.9
1988-04,力林,13.7,9.8,17.8
1988-05,力林,18.1,14.8,21.8
1988-06,力林,21.5,18.9,24.7
1988-07,力林,26.2,23.7,29.3
1988-08,力林,26.2,23.3,29.4
1988-09,力林,23.1,20.1,26.3
1988-10,力林,18.4,15,22.4
1988-11,力林,12.2,8.6,16.4
1988-12,力林,8.3,5,12.2
1989-01,力林,7.9,5.3,11
1989-02,力林,8.1,5.2,11.1
1989-03,力林,10,6.7,13.9
1989-04,力林,15.5,12,19.5
1989-05,力林,17.7,14.5,21.3
1989-06,力林,20.3,17.4,23.8
1989-07,力林,25.1,22.8,28.1
1989-08,力林,25.9,23.4,28.8
1989-09,力林,23.4,20.5,26.6
1989-10,力林,17.6,13.8,21.7
1989-11,力林,12.9,9.7,16.4
1989-12,力林,9.2,6.1,12.7
1990-01,力林,5.6,2.7,8.8
1990-02,力林,9,6.1,11.9
1990-03,力林,10.7,7.4,14.1
1990-04,力林,13.6,10.3,17
1990-05,力林,18.2,14.9,21.6
1990-06,力林,22.5,19.6,25.7
1990-07,力林,26.6,24,29.5
1990-08,力林,28.4,25.3,31.8
1990-09,力林,24,21.1,26.9
1990-10,力林,18.4,15.2,22.1
1990-11,力林,15.1,11.6,18.8
1990-12,力林,8.8,5.6,12.3
1991-01,力林,6.9,4.1,10
1991-02,力林,6.2,3.2,9.5
1991-03,力林,9.8,7,12.9
1991-04,力林,13.9,10.5,17.4
1991-05,力林,17.3,14.3,20.7
1991-06,力林,21.7,19.3,24.4
1991-07,力林,25.5,23.3,28.2
1991-08,力林,25.3,22.9,28.1
1991-09,力林,23.4,20.8,26.4
1991-10,力林,17.7,13.9,21.6
1991-11,力林,12.8,9.3,16.7
1991-12,力林,9.5,6.3,13.2
1992-01,力林,7.6,4.6,10.8
1992-02,力林,7.2,3.9,11
1992-03,力林,10.8,8.2,13.7
1992-04,力林,14.5,10.8,18.7
1992-05,力林,17.7,14.3,21.6
1992-06,力林,20.6,17.6,23.9
1992-07,力林,25.7,23.3,28.7
1992-08,力林,26.7,24.2,29.9
1992-09,力林,23.9,21,27.3
1992-10,力林,17.8,14.5,21.8
1992-11,力林,12.7,8.9,16.7
1992-12,力林,9.9,6.6,13.5
1993-01,力林,6.1,3.7,8.9
1993-02,力林,7.5,4.1,11.5
1993-03,力林,9.3,5.8,13.4
1993-04,力林,13.6,9.8,17.7
1993-05,力林,17.7,14.5,21.1
1993-06,力林,21,18.3,24.4
1993-07,力林,23.7,21.8,26.5
1993-08,力林,24.4,22.2,27.2
1993-09,力林,22.6,19.6,25.9
1993-10,力林,17.7,14.5,21.4
1993-11,力林,14.2,11.3,17.7
1993-12,力林,8.1,4.9,11.9
1994-01,力林,6.6,3.5,10.2
1994-02,力林,7.3,4.4,10.7
1994-03,力林,8.5,5.1,12.3
1994-04,力林,15.2,12.2,18.6
1994-05,力林,18.9,15.4,22.5
1994-06,力林,21.2,18.3,24.6
1994-07,力林,28.5,25.8,31.5
1994-08,力林,27.8,25.4,30.4
1994-09,力林,23.3,20,26.8
1994-10,力林,19,15.9,22.4
1994-11,力林,15.3,12.1,18.9
1994-12,力林,10.1,7.2,12.9
1995-01,力林,6.4,3.6,9.4
1995-02,力林,7.2,4.3,10.5
1995-03,力林,10.1,6.7,13.7
1995-04,力林,13.4,9.8,16.8
1995-05,力林,17.2,13.6,20.7
1995-06,力林,20.4,17.8,23.3
1995-07,力林,25.4,23.3,28.2
1995-08,力林,28.1,25.7,31.1
1995-09,力林,22.7,20.2,25.7
1995-10,力林,19,15.9,22.4
1995-11,力林,12.6,9.1,16.3
1995-12,力林,7.5,4.7,10.4
1996-01,力林,6.6,3.8,9.7
1996-02,力林,5.3,2.4,8.4
1996-03,力林,9.2,6,12.7
1996-04,力林,12.4,9.1,16
