扁柯盒籍
[八祸炼扒]
磊丰备盒 : 岿
磊丰屈怕 : 扁夯
瘤开/瘤痢 : 面合
扁埃 : 1973~2021 01~12

斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
1973-01,面合,-1,-5,3.7
1973-02,面合,0,-4.7,5.1
1973-03,面合,3.5,-2.5,10.2
1973-04,面合,11.8,5.1,18.3
1973-05,面合,16.3,10.3,22.1
1973-06,面合,20.6,15.7,26
1973-07,面合,26.1,21.5,31.9
1973-08,面合,25.4,21.2,30.9
1973-09,面合,18.3,13.1,24.7
1973-10,面合,11.3,5.5,17.7
1973-11,面合,3.9,-1.5,9.4
1973-12,面合,-3.8,-9.3,1.8
1974-01,面合,-4.7,-10.7,2.3
1974-02,面合,-2.9,-7.8,2
1974-03,面合,2.9,-2.1,8.6
1974-04,面合,10.7,4.6,16.8
1974-05,面合,16.5,10.3,22.5
1974-06,面合,19.5,13.8,25.5
1974-07,面合,22.5,19.5,26.3
1974-08,面合,24.7,20.3,30
1974-09,面合,18.3,12.3,25.3
1974-10,面合,11.5,5.2,18.3
1974-11,面合,3.8,-1.8,10.6
1974-12,面合,-2,-7.1,3.7
1975-01,面合,-3.1,-7.4,1.7
1975-02,面合,-1.4,-6.5,3.7
1975-03,面合,3.6,-1.8,9.6
1975-04,面合,12.2,5.8,18.8
1975-05,面合,16,10.3,22
1975-06,面合,20.7,16,26.4
1975-07,面合,24.4,20.7,29
1975-08,面合,25.4,20.7,31
1975-09,面合,21.2,16.7,26.8
1975-10,面合,13.7,8.4,19.5
1975-11,面合,7.4,2.3,13.3
1975-12,面合,-2.4,-7.5,3.4
1976-01,面合,-4.6,-10.2,1.3
1976-02,面合,1.7,-3.2,7.1
1976-03,面合,4.2,-1.3,10.3
1976-04,面合,10.4,3.7,17.1
1976-05,面合,16,8.8,22.7
1976-06,面合,20.5,15.2,26.2
1976-07,面合,22.5,18.4,27.1
1976-08,面合,23.5,20.2,27.9
1976-09,面合,17.9,12.2,24.6
1976-10,面合,12,5.8,19.1
1976-11,面合,2.6,-2.7,8.6
1976-12,面合,-0.9,-5.6,4.7
1977-01,面合,-7.2,-12.5,-1.5
1977-02,面合,-3.4,-10.2,3.6
1977-03,面合,4.5,-1.5,11.2
1977-04,面合,12.2,5.6,19.1
1977-05,面合,17.1,10.6,23.5
1977-06,面合,21.7,16.1,27.7
1977-07,面合,25.7,21.9,30.4
1977-08,面合,23,18.2,28.7
1977-09,面合,20.1,15.5,26.1
1977-10,面合,14.2,7.5,22.7
1977-11,面合,6.1,1.3,11.6
1977-12,面合,1.2,-3.6,7.2
1978-01,面合,-2.5,-7.2,2.5
1978-02,面合,-2.3,-7.2,2.9
1978-03,面合,3.6,-2.5,10.2
1978-04,面合,11.5,3.7,19.4
1978-05,面合,17.7,9.2,25.7
1978-06,面合,21.6,16.5,27.1
1978-07,面合,26.3,22.3,31.1
1978-08,面合,25.2,21.6,30.1
1978-09,面合,19.3,14.6,25.3
1978-10,面合,12.6,5.9,20.4
1978-11,面合,6.3,0.9,12.5
1978-12,面合,0.5,-4.6,6.5
1979-01,面合,-0.2,-5.2,5.4
1979-02,面合,0.3,-4.8,6.4
1979-03,面合,4.7,-1.5,11.7
1979-04,面合,10.5,4.4,16.6
1979-05,面合,15.9,9.1,22.5
1979-06,面合,21.3,17.3,26.1
1979-07,面合,23.8,20.1,28.4
1979-08,面合,24.3,20.1,29.4
1979-09,面合,18.1,13.3,24
1979-10,面合,13.1,6.1,21.6
1979-11,面合,4.5,-1.5,11.3
1979-12,面合,0.1,-5.1,6.1
1980-01,面合,-3.8,-9.1,1.6
1980-02,面合,-3.7,-9.4,2.1
1980-03,面合,4.5,-1.6,11.2
1980-04,面合,9.8,3.4,16.2
1980-05,面合,16.2,9.2,23.1
1980-06,面合,21.6,16.8,26.9
1980-07,面合,22.5,19,26.9
1980-08,面合,21.7,18.5,25.8
1980-09,面合,18,12.2,24.6
1980-10,面合,11.5,5.5,18.2
1980-11,面合,6.5,0.5,14.1
1980-12,面合,-4.3,-9.4,1.2
1981-01,面合,-8.2,-14.7,-1.7
1981-02,面合,-2.5,-7.5,2.8
1981-03,面合,5.1,-1.3,12.3
1981-04,面合,11.6,4.6,18.6
1981-05,面合,16.1,9,22.9
1981-06,面合,21.2,15.4,27.2
1981-07,面合,25.3,21.9,29.7
1981-08,面合,23.2,19.1,28.3
1981-09,面合,18,12.8,24.7
1981-10,面合,11.2,5.4,17.8
1981-11,面合,2.6,-2,8
1981-12,面合,-1.5,-6.8,4.5
1982-01,面合,-3.9,-8.9,1.6
1982-02,面合,-1.1,-7,5.6
1982-03,面合,5,-1.1,11.6
1982-04,面合,11.3,4,18.5
1982-05,面合,17.6,10.9,24.1
1982-06,面合,21.2,14.9,27.7
1982-07,面合,23.8,18.9,29.7
1982-08,面合,24.5,20.5,29.3
1982-09,面合,18.2,11.8,25.2
1982-10,面合,13.2,6.4,21.5
1982-11,面合,6.7,1.9,12.6
1982-12,面合,-1.1,-5.6,4.3
1983-01,面合,-2.6,-7.3,3.2
1983-02,面合,-2.8,-7.6,2.7
1983-03,面合,4.9,-0.8,11.4
1983-04,面合,12.5,5.7,19.7
1983-05,面合,17.4,10.9,24.3
1983-06,面合,21.5,15.5,28.1
1983-07,面合,23.4,19.9,27.7
1983-08,面合,25,21.1,30
1983-09,面合,20.6,16.4,25.8
1983-10,面合,12.7,7.7,19.2
1983-11,面合,4.8,-0.5,11.3
1983-12,面合,-2.3,-7.6,3.7
1984-01,面合,-6.8,-12.4,-0.6
1984-02,面合,-4,-9.6,2
1984-03,面合,1.9,-3.7,7.9
1984-04,面合,11.2,4.6,18.2
1984-05,面合,17.5,10.6,24.8
1984-06,面合,21.7,16.7,27.4
1984-07,面合,24.6,20.8,29.3
1984-08,面合,26.1,22.3,31.3
1984-09,面合,18.6,13.8,24.8
1984-10,面合,11.7,5.1,19.3
1984-11,面合,6.2,0.5,13.4
1984-12,面合,-1.3,-5.9,4.4
1985-01,面合,-6.8,-13.2,-0.3
1985-02,面合,-0.5,-5,4.5
1985-03,面合,4.1,-1.1,10.1
1985-04,面合,11.1,3.8,18.8
1985-05,面合,17.5,11.1,24.1
1985-06,面合,21,16,26.8
1985-07,面合,24.8,21.1,29.6
1985-08,面合,25.8,21.7,30.9
1985-09,面合,19.8,15.9,24.5
1985-10,面合,13.4,8.3,19.6
1985-11,面合,5.2,0.9,10
1985-12,面合,-3.5,-8.3,1.9
1986-01,面合,-5.9,-11,0.2
1986-02,面合,-3.8,-9,1.8
1986-03,面合,4,-1.8,10.8
1986-04,面合,11.6,3.9,19.2
1986-05,面合,16.5,10.1,23.2
1986-06,面合,21.2,16.6,26.2
1986-07,面合,22.9,19.3,27.1
1986-08,面合,23.8,19.8,29.3
1986-09,面合,18.2,13.2,24.3
1986-10,面合,11,5.8,17.3
1986-11,面合,4.1,-1.3,10.5
1986-12,面合,1.1,-3.2,6.3
1987-01,面合,-3,-7.8,2.2
1987-02,面合,-0.3,-5.1,5.3
1987-03,面合,3.9,-1.4,10
1987-04,面合,10.6,3.4,18.1
1987-05,面合,16.7,10.1,23.5
1987-06,面合,21.5,15.2,27.9
1987-07,面合,23.5,19.9,27.9
1987-08,面合,23.9,20.6,28.6
1987-09,面合,18.2,12.7,25
1987-10,面合,13.5,7.4,21
1987-11,面合,5.8,0,12.8
1987-12,面合,-0.4,-5.8,6.4
1988-01,面合,-2.4,-7.8,3.1
1988-02,面合,-2.2,-7.9,4.1
1988-03,面合,3.1,-2.6,9.2
1988-04,面合,10.8,3.2,18.1
1988-05,面合,17,10.2,24.1
1988-06,面合,21.8,16.6,27.5
1988-07,面合,23.6,20.2,27.9
1988-08,面合,24.7,20,30.7
1988-09,面合,19.2,13.8,26
1988-10,面合,12.8,6.1,20.7
1988-11,面合,3.9,-2.5,11
1988-12,面合,-1.1,-6,4.9
1989-01,面合,-0.2,-4.2,4.5
1989-02,面合,1.1,-3.8,7.1
1989-03,面合,5,-0.8,11.4
1989-04,面合,13.1,4.8,21.3
1989-05,面合,17.3,10.4,24.2
1989-06,面合,20.1,14.8,26
1989-07,面合,23.5,19.4,28.5
1989-08,面合,24.2,19.4,29.4
1989-09,面合,19.2,14.6,24.9
1989-10,面合,11.5,4.9,19.5
1989-11,面合,5.7,0.9,11.4
1989-12,面合,0.6,-4.4,6.1
1990-01,面合,-3.8,-8.6,1.3
1990-02,面合,2.2,-1.8,6.6
1990-03,面合,6.2,0.7,12.3
1990-04,面合,10.5,4.1,17
1990-05,面合,16,10.5,21.8
1990-06,面合,20.8,16.8,25.8
1990-07,面合,25,21.5,29.6
1990-08,面合,25.7,21,31.8
1990-09,面合,20.2,15.5,26
1990-10,面合,12.9,6.5,21.2
1990-11,面合,8.2,2.6,15.1
1990-12,面合,-0.8,-5.9,5.6
1991-01,面合,-3.4,-8.4,2.5
1991-02,面合,-2.1,-7.1,3.3
1991-03,面合,4.3,-0.9,10.3
1991-04,面合,11.7,3.8,19.9
1991-05,面合,16.5,9.8,23.3
1991-06,面合,22.2,17,27.9
1991-07,面合,23.8,20.3,27.9
1991-08,面合,23.6,19.1,28.8
1991-09,面合,19.3,14.6,25.1
1991-10,面合,11.6,4.9,19.9
1991-11,面合,4.5,-1.7,12.3
1991-12,面合,1.1,-3.7,7.1
1992-01,面合,-1.2,-5.6,4.1
1992-02,面合,-0.9,-6.7,5.7
1992-03,面合,6.1,0.3,12.6
1992-04,面合,11.2,4.3,18.7
1992-05,面合,15.5,9.3,22.1
1992-06,面合,20,14,26.4
1992-07,面合,24.7,20.3,30.1
1992-08,面合,23.8,19.8,28.7
1992-09,面合,19,14.3,24.8
1992-10,面合,11.8,6.1,19.1
1992-11,面合,4.5,-1.4,11.8
1992-12,面合,0.3,-4.4,5.4
1993-01,面合,-3.2,-8.1,2.2
1993-02,面合,0,-5.2,6
1993-03,面合,3.9,-2.1,10.8
1993-04,面合,10.2,3.3,17.3
1993-05,面合,16.5,10.1,23.6
1993-06,面合,20.8,16.4,26
1993-07,面合,22,18,26.6
1993-08,面合,21.1,17.5,25.7
1993-09,面合,18.5,12.7,25.6
1993-10,面合,10.7,4,18.6
1993-11,面合,6.9,2.5,12
1993-12,面合,-1.2,-6.4,4.5
1994-01,面合,-2.7,-7.9,3.5
1994-02,面合,-0.7,-6.6,5.9
1994-03,面合,2.9,-2.8,8.8
1994-04,面合,13.3,5.2,21.3
1994-05,面合,16.7,10.1,23.1
1994-06,面合,21.2,14.9,27.6
1994-07,面合,27.4,22.6,33.4
1994-08,面合,26.1,21.6,31.6
1994-09,面合,18.5,12.6,25.8
1994-10,面合,12.8,6.9,20.2
1994-11,面合,7.3,1.1,14.6
1994-12,面合,0,-5.5,6.1
1995-01,面合,-3.6,-9.1,2.3
1995-02,面合,-1.1,-7.3,6.7
1995-03,面合,4.4,-1.1,10.9
1995-04,面合,10.3,2.3,18.4
1995-05,面合,15.6,8.3,22.6
1995-06,面合,20,14.4,26.1
1995-07,面合,24,20.1,29
1995-08,面合,25.3,21.4,30.5
1995-09,面合,17.6,12.3,24
1995-10,面合,12.9,6.7,21
1995-11,面合,3.9,-2.4,11.9
1995-12,面合,-2.7,-8,3.4
1996-01,面合,-3.3,-8.6,2.6
1996-02,面合,-3,-8.9,3.9
1996-03,面合,3.3,-2.2,9.2
1996-04,面合,9.2,2.1,16.1
1996-05,面合,16.8,9.8,24
1996-06,面合,21.1,17.3,25.9
1996-07,面合,23.8,19.7,29.1
1996-08,面合,24.7,20.5,30.1
1996-09,面合,19.2,13.2,26.5
1996-10,面合,12.6,6.4,20.1
1996-11,面合,5.6,0.4,11.3
1996-12,面合,-0.2,-5.9,6.9
1997-01,面合,-3.6,-9.1,2.4
1997-02,面合,-0.9,-7.7,6.5
1997-03,面合,5.3,-1.3,12.5
1997-04,面合,11.5,4.3,18.6
1997-05,面合,16.3,10.6,22.6
1997-06,面合,21.4,15.6,27.9
1997-07,面合,23.8,19.9,28.8
1997-08,面合,24.3,20.1,29.7
1997-09,面合,18.1,12.7,24.8
1997-10,面合,11.4,4.1,19.3
1997-11,面合,6.8,1.3,13.4
1997-12,面合,0.1,-4.6,5.7
1998-01,面合,-2.7,-7.4,2.2
1998-02,面合,1.7,-3.7,7.9
1998-03,面合,5.9,-0.7,13
1998-04,面合,14.6,9.1,21
1998-05,面合,17.3,11.2,23.7
1998-06,面合,20,15.8,24.6
1998-07,面合,23.8,20.7,27.7
1998-08,面合,24.2,20.8,28.7
1998-09,面合,20.9,15.7,27.3
1998-10,面合,15,9.6,21.4
1998-11,面合,6,0,13.2
1998-12,面合,0.8,-4.7,7.5
1999-01,面合,-1.7,-7.2,4.6
1999-02,面合,0,-5.9,5.9
1999-03,面合,5.4,-1.1,12.2
1999-04,面合,12.6,5.4,19.9
1999-05,面合,16.6,9.8,23.3
1999-06,面合,21.7,16,27.8
1999-07,面合,23.9,19.7,28.4
1999-08,面合,24.2,20.3,28.9
1999-09,面合,21.5,17.5,26.6
1999-10,面合,12.3,6.7,19.2
1999-11,面合,5.9,0.3,12.9
1999-12,面合,-1.1,-6.5,5.2
2000-01,面合,-2.4,-6.9,2.2
2000-02,面合,-2.5,-8,3.2
2000-03,面合,4.8,-2,12.2
2000-04,面合,10.7,3.6,17.9
2000-05,面合,16.7,10.5,23.5
2000-06,面合,21.7,16.8,27.6
2000-07,面合,25,20.8,30.5
2000-08,面合,24.7,21.2,29.5
2000-09,面合,18.4,14.3,23.7
2000-10,面合,12.8,6.9,20
2000-11,面合,5,-0.6,11.9
2000-12,面合,-0.5,-6.3,6
2001-01,面合,-4.2,-9.2,0.8
2001-02,面合,-0.9,-6.1,4.9
2001-03,面合,4.3,-2,11.1
2001-04,面合,12.6,4.4,20.5
2001-05,面合,18.2,11.8,25
2001-06,面合,21.8,17,27.3
2001-07,面合,25.1,21,30.4
2001-08,面合,24.7,19.9,30.7
2001-09,面合,19.6,13.3,26.6
2001-10,面合,14,8.8,20.7
2001-11,面合,4.7,-1.3,12
2001-12,面合,-1.9,-7.2,4.1
2002-01,面合,-0.7,-5.2,4.3
2002-02,面合,0.5,-5.5,7.2
2002-03,面合,7,0,14.2
2002-04,面合,13,5.8,20.2
2002-05,面合,16.7,10.9,23
2002-06,面合,20.9,14.7,27.2
2002-07,面合,24.2,20.6,28.9
2002-08,面合,23.2,20.5,27.1
2002-09,面合,19,14.4,25
2002-10,面合,10.9,5.3,17.6
2002-11,面合,3,-2.5,9
2002-12,面合,0.6,-3.8,5.9
2003-01,面合,-3.7,-8.7,1.7
2003-02,面合,1.1,-3.6,6.6
2003-03,面合,5.3,-0.3,11.2
2003-04,面合,11.9,6,18.2
2003-05,面合,17.3,11,24
2003-06,面合,20.3,15.9,25.4
2003-07,面合,22.1,18.8,26.3
2003-08,面合,23.1,19.9,27.4
2003-09,面合,19.9,15.9,25.2
2003-10,面合,11.8,5.6,19.5
2003-11,面合,8.2,2.8,14.2
2003-12,面合,0.2,-4.5,5.4
2004-01,面合,-2.7,-7.9,3.3
2004-02,面合,1.4,-4.6,8.1
2004-03,面合,5.1,-1.9,12.2
2004-04,面合,12.3,4.8,20
2004-05,面合,16.9,11.5,22.8
2004-06,面合,21.6,16.2,27.6
2004-07,面合,24.7,21.1,29.2
2004-08,面合,24.2,20.4,29.3
2004-09,面合,19.6,15.2,25.4
2004-10,面合,12.7,6,20.7
2004-11,面合,7.1,1.3,14
2004-12,面合,1,-4.2,7.3
2005-01,面合,-2.9,-8.1,2.7
2005-02,面合,-2.2,-7.3,3.1
2005-03,面合,3.9,-2.3,10.5
2005-04,面合,12.6,5.3,20
2005-05,面合,16.7,10,23.9
2005-06,面合,22.1,17.4,28
2005-07,面合,24.5,21.1,29.1
2005-08,面合,24.2,20.7,29
2005-09,面合,20.8,16.8,25.9
2005-10,面合,12.7,7.3,19.5
2005-11,面合,6.5,0.1,13.7
2005-12,面合,-4.6,-10,0.9
2006-01,面合,-1,-5.8,4.6
2006-02,面合,-0.4,-5.5,5.1
2006-03,面合,4.9,-1.5,11.6
2006-04,面合,10.8,4.8,17
2006-05,面合,17.4,11.8,23.6
2006-06,面合,21.4,16.4,27.3
2006-07,面合,22.5,19.9,26.3
2006-08,面合,25.8,21.7,31.5
2006-09,面合,18.2,13.1,24.5
2006-10,面合,15.3,9.3,22.9
2006-11,面合,7.4,2.3,13.1
2006-12,面合,0.5,-4.1,6.3
2007-01,面合,-0.7,-5.5,5.1
2007-02,面合,2.7,-3.2,9.7
2007-03,面合,5.5,0,11.9
2007-04,面合,10.8,3.9,17.9
2007-05,面合,17.1,11,24
2007-06,面合,21.4,16.1,27.3
2007-07,面合,23,19.8,27.4
2007-08,面合,25,21.6,29.8
2007-09,面合,20.2,16.8,24.6
2007-10,面合,13.4,8.2,20.1
2007-11,面合,4.9,-0.9,11.9
2007-12,面合,0.3,-3.9,5.4
2008-01,面合,-2.3,-6.6,2.7
2008-02,面合,-2.4,-8.4,4.1
2008-03,面合,6.1,0,12.8
2008-04,面合,12.6,5.4,20
2008-05,面合,17.1,10.4,24.1
2008-06,面合,20.3,15.7,25.6
2008-07,面合,25.6,22.1,30.5
2008-08,面合,23.9,19.6,29.2
2008-09,面合,20.3,15.5,26.6
2008-10,面合,14,8.4,21.1
2008-11,面合,5.7,0.2,12
2008-12,面合,-0.3,-5.3,5.6
2009-01,面合,-3.7,-9.1,2.6
2009-02,面合,2.1,-3.3,7.9
2009-03,面合,5.6,-0.6,12
2009-04,面合,11.7,4.7,19
2009-05,面合,17.7,10.9,24.7
2009-06,面合,21.5,16,27.5
2009-07,面合,23.2,19.5,27.9
2009-08,面合,23.8,19.7,28.8
2009-09,面合,19.7,14.6,26
2009-10,面合,13.5,7.1,21.3
2009-11,面合,5.9,1.4,11.1
2009-12,面合,-1.4,-5.8,3.5
2010-01,面合,-4.6,-9.9,1.1
2010-02,面合,0.5,-4.1,5.6
2010-03,面合,4,-0.5,8.6
2010-04,面合,9,2.9,15.3
2010-05,面合,16.8,10.2,23.4
2010-06,面合,22.3,16.7,28.5
2010-07,面合,25,21.5,29.5
2010-08,面合,26.3,23.3,30.7
2010-09,面合,20.8,16.8,26.2
2010-10,面合,12.9,7.5,19.6
2010-11,面合,5.1,-1.1,12.1
2010-12,面合,-1.5,-6.8,4.1
2011-01,面合,-7.4,-13.2,-1.9
2011-02,面合,0.5,-5.4,6.8
2011-03,面合,3.3,-2.5,9.6
2011-04,面合,10.5,3.8,17.3
2011-05,面合,17.2,11.3,23.3
2011-06,面合,21.9,16.8,27.8
2011-07,面合,24.7,21.6,28.8
2011-08,面合,24.5,21.3,28.8
2011-09,面合,19.6,15,25.2
2011-10,面合,11.9,6,19
2011-11,面合,9.3,4.7,14.8
2011-12,面合,-1.4,-6,3.5
2012-01,面合,-3.3,-8.3,1.9
2012-02,面合,-2.7,-8.4,3.2
2012-03,面合,4.6,-0.3,9.8
2012-04,面合,12,5.4,18.9
2012-05,面合,17.9,11.8,24.6
2012-06,面合,22,17.2,27.5
2012-07,面合,24.9,21.1,29.6
2012-08,面合,25.6,22,30.1
2012-09,面合,19,14.8,24.5
2012-10,面合,12.4,6.2,19.8
2012-11,面合,4.6,-0.2,9.8
2012-12,面合,-4.5,-9.2,0.6
2013-01,面合,-4.5,-9.8,1.1
2013-02,面合,-1.2,-6.2,4.1
2013-03,面合,5.2,-1.6,12.9
2013-04,面合,9.3,2.8,15.9
2013-05,面合,17.6,11.1,24.4
2013-06,面合,22.8,18.2,28.4
2013-07,面合,25.6,22.4,29.8
2013-08,面合,26.2,22.2,31.5
2013-09,面合,19.8,15.2,25.4
2013-10,面合,13.7,7.9,20.8
2013-11,面合,5,0.1,10.7
2013-12,面合,-0.5,-5.2,4.5
2014-01,面合,-1.6,-7.2,4.5
2014-02,面合,1.1,-4,6.9
2014-03,面合,6.7,0.6,13.1
2014-04,面合,12.8,6.1,20.1
2014-05,面合,18,10.8,25.4
2014-06,面合,21.7,17.2,27.4
2014-07,面合,24.7,20.5,29.9
2014-08,面合,23.1,19.8,27.3
2014-09,面合,19.8,14.7,26.1
2014-10,面合,13,6.7,20.3
2014-11,面合,6.9,1.6,13
2014-12,面合,-3.1,-7.9,1.9
2015-01,面合,-1.5,-6.1,3.7
2015-02,面合,0.5,-4.2,6.1
2015-03,面合,5.7,-1.5,13.2
2015-04,面合,12,5.9,18.4
2015-05,面合,18.2,10.7,25.6
2015-06,面合,22,16.4,28.1
2015-07,面合,24,20.2,28.8
2015-08,面合,24.5,20.3,30.2
2015-09,面合,19.3,13.4,26
2015-10,面合,13.4,7.3,20.8
2015-11,面合,8.5,4.9,12.6
2015-12,面合,1.4,-3.1,6.3
2016-01,面合,-3,-7.7,1.9
2016-02,面合,-0.1,-5.4,5.5
2016-03,面合,6,-0.5,12.8
2016-04,面合,13.5,6.8,20.7
2016-05,面合,18.3,11.1,25.6
2016-06,面合,22.4,17.3,28.1
2016-07,面合,25,21.2,29.8
2016-08,面合,26.1,21.4,32
2016-09,面合,20.8,16.8,25.8
2016-10,面合,14.4,10,19.8
2016-11,面合,5.7,0.3,11.8
2016-12,面合,0.9,-4.1,6.3
2017-01,面合,-2.1,-7.3,3.6
2017-02,面合,-0.3,-6,5.8
2017-03,面合,5.3,-1.1,12.1
2017-04,面合,13.3,6.2,20.5
2017-05,面合,18.3,11.2,25.7
2017-06,面合,21.9,15.8,28.6
2017-07,面合,25.7,22.5,30.2
2017-08,面合,24.6,20.9,29.4
2017-09,面合,19.3,13.8,25.7
2017-10,面合,14,8.8,20.4
2017-11,面合,4.7,-1.3,11.2
2017-12,面合,-2.3,-7.3,3
2018-01,面合,-4.1,-8.6,0.9
2018-02,面合,-2.1,-8.3,4.2
2018-03,面合,7.1,0.7,14
2018-04,面合,12.7,5.6,19.7
2018-05,面合,17.7,11.7,23.8
2018-06,面合,22.2,17,28.3
2018-07,面合,26.6,22.2,31.9
2018-08,面合,27,22.6,32.5
2018-09,面合,19.4,14.5,24.9
2018-10,面合,11.3,5.7,18.2
2018-11,面合,6.3,0.6,13.4
2018-12,面合,-1.2,-6.2,4.6
2019-01,面合,-1.8,-7.6,4.4
2019-02,面合,0.8,-4.8,6.8
2019-03,面合,6.3,-0.3,13.3
2019-04,面合,11.5,4.8,18
2019-05,面合,18.4,10.4,26.1
2019-06,面合,21.4,16,27.5
2019-07,面合,24.6,20.7,29.2
2019-08,面合,25.7,21.5,31.1
2019-09,面合,21,16.7,26.2
2019-10,面合,14.4,9.1,20.7
2019-11,面合,6.8,0.9,13.8
2019-12,面合,0.5,-4.3,5.9
2020-01,面合,1,-3.2,6.2
2020-02,面合,2,-3.2,7.8
2020-03,面合,7,0,13.9
2020-04,面合,10.2,2.9,17.3
2020-05,面合,17.6,12,23.6
2020-06,面合,23,18.2,28.5
2020-07,面合,22.7,19.4,26.5
2020-08,面合,25.9,22.7,30.3
2020-09,面合,19.3,15.1,24.6
2020-10,面合,12.1,6.1,19.1
2020-11,面合,6.9,1.5,12.9
2020-12,面合,-1.8,-6.8,4.1
2021-01,面合,-3,-8.6,2.9
2021-02,面合,2.1,-4.1,8.4
2021-03,面合,8,1.8,14.5
2021-04,面合,13,6.5,19.4
2021-05,面合,16,10.4,21.9
2021-06,面合,21.8,17.1,27.3
2021-07,面合,26,21.8,31.2
2021-08,面合,24.2,20.8,28.6
2021-09,面合,20.7,16.4,25.5
2021-10,面合,13.8,8.8,20.2
2021-11,面合,,,

