년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,충남,0.4,-3.2,4.8
1973-02,충남,0.7,-3.6,5.8
1973-03,충남,4,-1.9,10.8
1973-04,충남,12.1,5.9,18.1
1973-05,충남,16.5,10.7,22.1
1973-06,충남,21,16.4,26
1973-07,충남,26.6,22.5,31.5
1973-08,충남,26,22,30.8
1973-09,충남,19.5,14.4,25.3
1973-10,충남,12.5,6.6,18.6
1973-11,충남,5.1,-0.3,11
1973-12,충남,-2,-7.1,3.7
1974-01,충남,-3.1,-8.6,3.5
1974-02,충남,-1.8,-6.5,3
1974-03,충남,3.3,-1.5,8.9
1974-04,충남,10.8,5.1,16.5
1974-05,충남,16.2,10.5,22.2
1974-06,충남,19.2,14.2,25
1974-07,충남,23,20.2,26.8
1974-08,충남,25,20.7,30
1974-09,충남,19.4,13.4,25.9
1974-10,충남,12.3,6.1,18.6
1974-11,충남,5.1,-0.4,11.4
1974-12,충남,-0.3,-4.5,4.6
1975-01,충남,-2,-6.1,2.8
1975-02,충남,-0.4,-5.1,4.8
1975-03,충남,3.8,-1.4,10
1975-04,충남,12.3,6.6,18.7
1975-05,충남,15.8,10.9,21.5
1975-06,충남,20.6,16.3,26.3
1975-07,충남,24.9,21.6,29.2
1975-08,충남,26.2,21.9,31.5
1975-09,충남,22.1,17.8,27.4
1975-10,충남,14.8,9.7,20.3
1975-11,충남,8.6,3.5,14.2
1975-12,충남,-0.8,-5.4,4.2
1976-01,충남,-3.3,-8.6,2.2
1976-02,충남,2.6,-1.7,7.7
1976-03,충남,4.6,-0.5,10.5
1976-04,충남,10.3,4.2,16.6
1976-05,충남,15.9,9.6,22
1976-06,충남,20.6,15.5,25.8
1976-07,충남,22.8,18.7,27.2
1976-08,충남,24.6,21,28.8
1976-09,충남,19,13,25.3
1976-10,충남,13.1,7.4,19.7
1976-11,충남,4.2,-0.6,10.1
1976-12,충남,0.8,-3.7,6
1977-01,충남,-6.1,-10.6,-1
1977-02,충남,-2.6,-8.6,3.9
1977-03,충남,5,-0.6,11.2
1977-04,충남,12,6.1,18.4
1977-05,충남,16.6,10.8,22.6
1977-06,충남,21.8,16.7,27.4
1977-07,충남,25.9,22.1,30.4
1977-08,충남,23.8,18.9,29
1977-09,충남,20.9,15.9,26.7
1977-10,충남,15.1,8.3,23.3
1977-11,충남,7.5,2.6,12.8
1977-12,충남,2.6,-2.2,8.4
1978-01,충남,-1.3,-5.7,3.4
1978-02,충남,-1.5,-6.4,3.6
1978-03,충남,4,-1.9,10.2
1978-04,충남,11.1,4.2,18.3
1978-05,충남,17.4,9.7,25.2
1978-06,충남,21.7,16.6,27.1
1978-07,충남,26.6,23.1,31.1
1978-08,충남,25.9,22.3,30.5
1978-09,충남,20.2,15.6,26
1978-10,충남,13.6,7.6,20.8
1978-11,충남,7,1.9,13.1
1978-12,충남,1.9,-2.6,7.5
1979-01,충남,1.2,-3.1,6.3
1979-02,충남,1.4,-3.1,6.7
1979-03,충남,5.2,-0.7,11.9
1979-04,충남,10.7,5.3,16.5
1979-05,충남,15.6,9.8,22
1979-06,충남,21.5,17.8,25.9
1979-07,충남,24.2,20.7,28.8
1979-08,충남,25,20.9,29.9
1979-09,충남,18.8,14,24.6
1979-10,충남,14,7.7,22
1979-11,충남,5.7,0.6,11.7
1979-12,충남,1.4,-3.3,7.2
1980-01,충남,-2.5,-7.2,2.5
1980-02,충남,-2.8,-7.9,2.8
1980-03,충남,4.5,-1.1,10.9
1980-04,충남,10.1,4,16
1980-05,충남,15.8,9.7,22.4
1980-06,충남,21,16.7,26.2
1980-07,충남,22.6,19.5,26.8
1980-08,충남,22.5,19.1,26.8
1980-09,충남,18.3,12.7,24.9
1980-10,충남,12.1,6.2,18.6
1980-11,충남,7.8,2.2,14.8
1980-12,충남,-2.3,-6.6,2.6
1981-01,충남,-6.9,-12.9,-0.2
1981-02,충남,-1.3,-5.9,3.7
1981-03,충남,5.3,-0.5,12.3
1981-04,충남,11,4.7,17.7
1981-05,충남,15.8,9.8,21.9
1981-06,충남,21.1,15.7,27
1981-07,충남,25.6,22.2,29.9
1981-08,충남,23.9,19.8,28.8
1981-09,충남,18.9,13.7,25.2
1981-10,충남,12.4,6.8,18.7
1981-11,충남,3.6,-0.9,8.9
1981-12,충남,-0.2,-5.2,5.6
1982-01,충남,-2.7,-7.3,2.4
1982-02,충남,-0.3,-5.6,6.4
1982-03,충남,5.2,-0.5,11.4
1982-04,충남,10.9,4.2,17.9
1982-05,충남,17.6,11.5,23.9
1982-06,충남,21.2,15.4,27.5
1982-07,충남,24.2,19.3,29.9
1982-08,충남,25,21.3,29.6
1982-09,충남,19.1,12.9,26.1
1982-10,충남,14.5,8.1,22.3
1982-11,충남,8,3.3,13.6
1982-12,충남,0.7,-3.4,5.8
1983-01,충남,-1.8,-6.4,4
1983-02,충남,-1.5,-6.1,3.5
1983-03,충남,5.7,0.4,11.6
1983-04,충남,12.4,6,19.1
1983-05,충남,17.4,11.2,24
1983-06,충남,21.3,15.5,27.7
1983-07,충남,23.6,20.2,27.7
1983-08,충남,25.5,21.6,30.3
1983-09,충남,21.6,17.4,26.7
1983-10,충남,13.6,8.6,19.9
1983-11,충남,6.1,1.2,12.4
1983-12,충남,-1,-6.3,4.9
1984-01,충남,-4.8,-10,0.6
1984-02,충남,-2.9,-8.3,2.6
1984-03,충남,2.4,-2.9,7.9
1984-04,충남,11.4,5.4,18.1
1984-05,충남,17.3,11.4,23.9
1984-06,충남,22.1,17.1,27.7
1984-07,충남,25,21.3,29.4
1984-08,충남,26.4,22.5,31.2
1984-09,충남,19.5,14.6,25.6
1984-10,충남,12.9,6.6,20
1984-11,충남,7.3,1.7,14
1984-12,충남,-0.2,-4.6,4.9
1985-01,충남,-4.6,-9.9,0.6
1985-02,충남,0.3,-3.6,5.1
1985-03,충남,4.1,-1.1,9.8
1985-04,충남,11.1,4.4,18.2
1985-05,충남,17.8,12.3,23.8
1985-06,충남,21.5,16.9,26.9
1985-07,충남,25.1,21.5,29.5
1985-08,충남,26.3,22.3,31.4
1985-09,충남,20.5,16.6,25.1
1985-10,충남,14.2,9.4,19.9
1985-11,충남,6.5,2.5,11.2
1985-12,충남,-2,-6.2,2.8
1986-01,충남,-4.4,-9.1,1.1
1986-02,충남,-2.8,-7.7,2.4
1986-03,충남,4.4,-1,10.9
1986-04,충남,11.2,4.2,18.3
1986-05,충남,16.3,10.5,22.5
1986-06,충남,21.4,17.1,26.4
1986-07,충남,23.5,19.9,27.7
1986-08,충남,24.5,20.3,29.6
1986-09,충남,18.7,13.9,24.7
1986-10,충남,11.9,6.8,18.4
1986-11,충남,5.4,0.4,11.7
1986-12,충남,2.2,-2.1,7.4
1987-01,충남,-1.6,-5.9,3.2
1987-02,충남,0.5,-4,5.8
1987-03,충남,4.1,-1.2,10
1987-04,충남,10.1,3.6,17.2
1987-05,충남,16.4,10.5,22.9
1987-06,충남,21.5,16.3,27.4
1987-07,충남,23.7,20.3,27.6
1987-08,충남,24.6,21.2,29
1987-09,충남,19.1,13.9,25.4
1987-10,충남,14.5,8.8,21.5
1987-11,충남,7.2,1.9,13.6
1987-12,충남,0.9,-4.1,7.1
1988-01,충남,-1.4,-6.3,3.8
1988-02,충남,-1.2,-6.7,5
1988-03,충남,3.5,-1.8,9.5
1988-04,충남,10.6,3.5,17.5
1988-05,충남,17.1,10.8,23.9
1988-06,충남,21.8,17,27.2
1988-07,충남,24.7,21.5,28.5
1988-08,충남,25.4,20.7,31
1988-09,충남,20.2,14.9,26.7
1988-10,충남,13.5,7,21.2
1988-11,충남,4.8,-1.3,11.8
1988-12,충남,0.4,-4.1,6.1
1989-01,충남,0.6,-3.3,5.2
1989-02,충남,1.8,-3.1,7.5
1989-03,충남,5.1,-0.5,11.5
1989-04,충남,12.7,5.3,20.4
1989-05,충남,17,11.2,23.5
1989-06,충남,20.3,15.4,25.7
1989-07,충남,24.2,20.2,29.1
1989-08,충남,25.1,20.7,30
1989-09,충남,19.9,15.2,25.6
1989-10,충남,12.5,6.2,20.1
1989-11,충남,6.8,2.4,12.4
1989-12,충남,1.5,-3.3,7
1990-01,충남,-2.3,-6.8,2.4
1990-02,충남,2.3,-1.9,7
1990-03,충남,6.3,1,12.3
1990-04,충남,10.7,5,16.9
1990-05,충남,16.1,11.4,21.4
1990-06,충남,21.1,17.4,25.9
1990-07,충남,25.4,22.1,29.7
1990-08,충남,25.9,21.3,31.8
1990-09,충남,21,16.6,26.6
1990-10,충남,13.7,7.4,21.7
1990-11,충남,9.3,4,15.8
1990-12,충남,1.1,-3.3,6.6
1991-01,충남,-1.9,-6.5,3.6
1991-02,충남,-1.1,-5.8,4.2
1991-03,충남,4.4,-0.5,10.5
1991-04,충남,11.4,4.2,19.4
1991-05,충남,16.7,10.8,23.1
1991-06,충남,21.8,17.1,27.3
1991-07,충남,24.3,21,28.1
1991-08,충남,24.2,19.8,29.4
1991-09,충남,19.9,15.4,25.5
1991-10,충남,12.4,5.8,20.2
1991-11,충남,5.4,-0.6,12.7
1991-12,충남,1.9,-2.8,7.9
1992-01,충남,-0.4,-4.6,5
1992-02,충남,0.2,-5.1,6.3
1992-03,충남,6.1,0.7,12.5
1992-04,충남,11,4.2,18.4
1992-05,충남,15.7,9.9,22.3
1992-06,충남,20,14.4,26.3
1992-07,충남,24.9,21.2,29.7
1992-08,충남,24.5,20.6,29.7
1992-09,충남,19.7,14.9,25.4
1992-10,충남,12.7,7.1,20
1992-11,충남,5.7,0.5,12.7
1992-12,충남,1.6,-3,7.1
1993-01,충남,-2,-6.7,3.5
1993-02,충남,0.7,-4.3,6.8
1993-03,충남,4.3,-1.5,11.4
1993-04,충남,10,3.5,17
1993-05,충남,16.9,10.7,24
1993-06,충남,20.8,16.4,26.2
1993-07,충남,23,19.3,27.6
1993-08,충남,22.1,18.2,27
1993-09,충남,19.8,13.8,26.6
1993-10,충남,11.9,5.3,19.6
1993-11,충남,8,3.4,13.4
1993-12,충남,0.2,-4.6,5.7
1994-01,충남,-1.6,-6.7,4.5
1994-02,충남,0,-5.3,6.8
1994-03,충남,3.2,-2.7,9.6
1994-04,충남,13.4,5.8,21.4
1994-05,충남,17.1,11.3,23.3
1994-06,충남,21.5,15.8,27.8
1994-07,충남,27.9,23.7,33.4
1994-08,충남,26.7,22.6,31.8
1994-09,충남,19.7,13.8,26.6
1994-10,충남,13.9,8.3,21
1994-11,충남,8.1,2,15.3
1994-12,충남,1.4,-3.8,7.2
1995-01,충남,-2.1,-7.2,3.7
