
지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
속초(90),128.56473,38.25085,12.1,8.6,15.5
대관령(100),128.758698,37.686924,6.6,1.6,11.7
춘천(101),127.7357,37.90262,11,6.1,16.9
강릉(105),128.89099,37.75147,12.9,9,17.3
서울(108),126.96579167,37.57141111,12,8.2,16.8
인천(112),126.62436,37.47759,11.7,8.4,15.7
원주(114),127.94659,37.33749,10.4,5.2,16.4
울릉도(115),130.89863,37.48129,12.3,9.8,15.9
수원(119),126.98533,37.27226,11.3,6.2,16.8
충주(127),127.9525,36.97045,11.5,6.4,17.3
서산(129),126.4939,36.77658,11.8,7.4,17
울진(130),129.41278,36.99176,13,8.2,17.7
청주(131),127.44066,36.63924,11.7,6.9,17.2
대전(133),127.37211,36.37198,12.2,7.6,17.7
추풍령(135),127.99458,36.22025,11.8,7.2,17.4
안동(136),128.70726,36.573044,12.1,6.6,18.3
포항(138),129.38002,36.03201,13.7,9.3,18.7
군산(140),126.705696,35.992958,12.7,9.2,16.5
대구(143),128.6522,35.828233,13.7,8.8,19.3
전주(146),127.15496,35.8215,13.1,8.5,18.6
울산(152),129.32026,35.56014,13.8,9.1,19
광주(156),126.89156,35.17294,13.4,8.9,18.7
부산(159),129.03203,35.10468,14.5,11.2,18.5
통영(162),128.43561,34.84541,14.5,10.9,18.6
목포(165),126.38121,34.81689,13.8,10.6,18.3
여수(168),127.74063,34.73929,14.1,10.9,18.1
완도(170),126.70182,34.3959,14,9.7,18
제주(184),126.52969,33.51411,15.5,12.1,18.7
성산(188),126.880394,33.386822,15.3,11.4,18.8
서귀포(189),126.565331,33.24612,16,12.6,19.6
진주(192),128.11911,35.208447,13.8,8.7,19.4
강화(201),126.44634,37.70739,11,6.5,16
양평(202),127.49446,37.48863,10.9,5.5,17
이천(203),127.48421,37.26399,11.1,6,16.4
인제(211),128.16714,38.05986,10.2,4.8,16.1
홍천(212),127.88043,37.6836,10.6,5.1,17.3
삼척(214),129.21666667,37.36666667,12.5,7.8,17.7
제천(221),128.19433,37.15928,10.2,4.5,15.7
보은(226),127.73415,36.48761,10.3,4.4,16.9
천안(232),127.12126805,36.77962166,11.7,6.4,17.2
보령(235),126.55744,36.32724,12.1,7.3,17
부여(236),126.92079,36.27242,12.2,7,18
금산(238),127.48175,36.10563,11.5,6.4,17.7
부안(243),126.71657,35.72961,12.3,7.7,17.5
임실(244),127.28556,35.61203,11.2,5.8,17.2
정읍(245),126.86611,35.56317,12.6,7.4,18.1
남원(247),127.33303,35.40536,12.4,6.8,18.9
순천(256),127.239113,35.074982,12.9,7.9,18.6
장흥(260),126.91951,34.68886,13.3,8.5,18.8
해남(261),126.56907,34.55375,13.5,9.4,18.3
고흥(262),127.27571,34.61824,13.7,8.5,19.3
성산포(265),126.880394,33.386822,15.3,11.4,18.8
영주(272),128.51687,36.87183,11.2,5.4,17.6
문경(273),128.14879,36.62727,12.4,6.8,18.2
영덕(277),129.40926,36.53337,13,8.1,18.2
의성(278),128.68864,36.3561,11.8,5.9,18.5
구미(279),128.32055,36.13055,12.2,6.8,18.1
영천(281),128.9514,35.97742,12.9,7.5,18.8
거창(284),127.911011,35.671211,12,6.6,18
합천(285),128.16994,35.56505,13.2,8.1,19.1
밀양(288),128.74412,35.49147,13.3,7.7,19.5
산청(289),127.8791,35.413,13.2,8.2,19
거제(294),128.60459,34.88818,13.9,9.4,18.4
남해(295),127.92641,34.81662,14,9.3,19
