년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,서울경기,-0.2,-3.7,4.1
1973-02,서울경기,0.1,-3.9,4.7
1973-03,서울경기,4,-0.6,9.3
1973-04,서울경기,11.7,7,16.6
1973-05,서울경기,16.6,11.8,21.8
1973-06,서울경기,20.6,17,25.3
1973-07,서울경기,26.2,22.9,30.5
1973-08,서울경기,25.6,22.6,29.4
1973-09,서울경기,19.8,15.5,24.8
1973-10,서울경기,12.5,7.5,17.8
1973-11,서울경기,4.6,0,9.5
1973-12,서울경기,-3.4,-8,1.8
1974-01,서울경기,-3.4,-7.9,2.3
1974-02,서울경기,-2.6,-6.5,1.8
1974-03,서울경기,3.1,-0.9,8
1974-04,서울경기,10.1,5.5,15
1974-05,서울경기,15.8,11,21.1
1974-06,서울경기,18.9,14.7,23.9
1974-07,서울경기,23.2,20.4,26.9
1974-08,서울경기,24.5,20.9,28.8
1974-09,서울경기,19.9,15.2,25.4
1974-10,서울경기,12,6.7,17.6
1974-11,서울경기,4.7,0,10.1
1974-12,서울경기,-1.1,-5.2,3.5
1975-01,서울경기,-3.1,-7.1,1.5
1975-02,서울경기,-1.1,-5.4,3.5
1975-03,서울경기,3.8,-0.6,9
1975-04,서울경기,12.3,7.1,18.3
1975-05,서울경기,15.9,11.2,21.3
1975-06,서울경기,20.5,16.5,25.7
1975-07,서울경기,24.4,21.5,28.1
1975-08,서울경기,26.3,22.4,31.1
1975-09,서울경기,22,18,26.7
1975-10,서울경기,14.7,10,20.2
1975-11,서울경기,8.4,4,13.5
1975-12,서울경기,-2.3,-6.4,2.7
1976-01,서울경기,-4.2,-8.6,0.5
1976-02,서울경기,2.1,-1.8,6.6
1976-03,서울경기,4.2,0,9.2
1976-04,서울경기,10.3,5.1,15.9
1976-05,서울경기,15.7,10.1,21.5
1976-06,서울경기,20.5,16.2,25.7
1976-07,서울경기,22.5,19.2,26.8
1976-08,서울경기,23.4,20.4,27.1
1976-09,서울경기,19.2,14.3,24.8
1976-10,서울경기,13.1,8.4,18.7
1976-11,서울경기,3.2,-1.3,8.3
1976-12,서울경기,0,-4.3,4.8
1977-01,서울경기,-7.3,-11.5,-2.5
