년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,전남,3.6,0.1,7.6
1973-02,전남,3.7,-0.2,8
1973-03,전남,6.4,1.3,12.1
1973-04,전남,13.5,8.4,18.7
1973-05,전남,16.9,12.5,21.7
1973-06,전남,21.2,17.3,25.8
1973-07,전남,26.6,23,30.9
1973-08,전남,26.7,23.2,31.1
1973-09,전남,20.9,17.1,25.6
1973-10,전남,15.1,10.6,20
1973-11,전남,8.1,3.2,13.6
1973-12,전남,1.8,-2.6,6.8
1974-01,전남,0.9,-3.2,6.4
1974-02,전남,1.7,-2.4,6.4
1974-03,전남,5.5,0.9,10.5
1974-04,전남,12.3,6.9,17.6
1974-05,전남,17.1,12,22.4
1974-06,전남,20.1,15.2,25.3
1974-07,전남,22.6,20.6,25.4
1974-08,전남,25.6,22,30.1
1974-09,전남,21.2,16.7,26.4
1974-10,전남,15.3,10.4,20.5
1974-11,전남,8.5,3.8,14.1
1974-12,전남,3.4,-0.2,7.6
1975-01,전남,1.4,-2,5.4
1975-02,전남,2.1,-1.8,6.5
1975-03,전남,6.1,1.3,11.8
1975-04,전남,12.6,8.3,17.5
1975-05,전남,16.5,12.1,21.4
1975-06,전남,20.6,16.8,25.3
1975-07,전남,25.3,22.5,28.7
1975-08,전남,27.1,23.5,31.5
1975-09,전남,24,20.3,28.4
1975-10,전남,17,12.9,21.6
1975-11,전남,11.2,6.9,15.9
1975-12,전남,2.9,-0.8,7.6
1976-01,전남,0.2,-4.1,5.2
1976-02,전남,4.9,0.7,10
1976-03,전남,6.4,1.9,11.6
1976-04,전남,11.7,6.8,17
1976-05,전남,16.2,11.6,21.4
1976-06,전남,20.2,16.6,24.3
1976-07,전남,23,19.8,27
1976-08,전남,25.5,22.6,29.4
1976-09,전남,20.1,15.6,25.5
1976-10,전남,15.5,10.6,21.1
1976-11,전남,6.9,2.4,12.1
1976-12,전남,3.4,-0.9,8.4
1977-01,전남,-2.1,-5.7,2.3
1977-02,전남,0.5,-4.4,6.3
1977-03,전남,7.1,2.5,12.2
1977-04,전남,13,8.4,18
1977-05,전남,17.1,12.9,21.9
1977-06,전남,20.7,17.3,25
1977-07,전남,25.7,22.7,30
1977-08,전남,24.5,20.9,29
1977-09,전남,22.6,18.4,27.8
1977-10,전남,17.8,12.1,24.8
1977-11,전남,10.1,5.5,15.2
1977-12,전남,5.3,0.6,11.1
1978-01,전남,1.9,-2,6.5
1978-02,전남,1.4,-2.9,6.5
1978-03,전남,6.1,1.2,11.7
1978-04,전남,12.7,7.1,19.1
1978-05,전남,18.3,11.8,25.4
1978-06,전남,21.5,17.7,26
1978-07,전남,27.1,24,31.3
1978-08,전남,26.6,23.4,31.1
1978-09,전남,22,17.6,27.2
1978-10,전남,16.2,11,22.3
1978-11,전남,10.4,6.2,15.3
1978-12,전남,4.7,0.1,10.4
1979-01,전남,3.4,-0.9,8.8
1979-02,전남,3.9,-0.2,9.1
1979-03,전남,7.4,2.4,13.3
1979-04,전남,11.7,6.9,17
1979-05,전남,16.9,11.3,22.8
1979-06,전남,21.4,18.4,25.4
1979-07,전남,24.3,21.1,28.5
1979-08,전남,25.8,22.2,30.2
1979-09,전남,20.7,16.7,25.7
1979-10,전남,16.6,10.8,23.6
1979-11,전남,8.8,4.1,14.4
