년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1973-01,전북,1.4,-2.1,5.6
1973-02,전북,1.7,-2.2,6.2
1973-03,전북,4.8,-0.8,11.1
1973-04,전북,12.8,6.4,19.1
1973-05,전북,16.7,11.2,22.5
1973-06,전북,21.4,16.8,26.9
1973-07,전북,27,22.6,32
1973-08,전북,26.8,22.7,31.7
1973-09,전북,20.2,15.7,25.8
1973-10,전북,13.3,7.9,19.2
1973-11,전북,6.4,1.1,12.1
1973-12,전북,-0.5,-5.2,4.8
1974-01,전북,-1.4,-5.6,4.1
1974-02,전북,-0.3,-4.7,4.5
1974-03,전북,4.2,-0.6,9.7
1974-04,전북,11.7,6.1,17.7
1974-05,전북,16.9,11,22.9
1974-06,전북,19.8,14.3,25.6
1974-07,전북,23.5,20.5,27.1
1974-08,전북,25.7,21.1,30.7
1974-09,전북,20.1,14.7,25.9
1974-10,전북,13.2,7.7,19.2
1974-11,전북,6.3,1.3,12
1974-12,전북,1.3,-2.3,5.4
1975-01,전북,-0.6,-4.5,3.8
1975-02,전북,0.3,-4.3,5.1
1975-03,전북,4.7,-0.4,10.4
1975-04,전북,12.6,7.2,18.7
1975-05,전북,16.3,11.3,22.1
1975-06,전북,20.9,16.6,26.3
1975-07,전북,25.5,22.1,29.8
1975-08,전북,27.2,22.8,32.2
1975-09,전북,23,18.8,28.1
1975-10,전북,15.6,10.7,21
1975-11,전북,9.5,4.4,14.9
1975-12,전북,0.2,-4.2,5.4
1976-01,전북,-2.2,-7.6,3.2
1976-02,전북,3.7,-0.7,9
1976-03,전북,5.2,0.3,10.9
1976-04,전북,11.1,5.2,17.5
1976-05,전북,16.2,10,22.6
1976-06,전북,21,16.3,26.3
1976-07,전북,23.4,19.6,28.1
1976-08,전북,25.8,22.2,30.3
1976-09,전북,19.6,14.2,25.6
1976-10,전북,14.2,8.8,20.4
1976-11,전북,5.3,0.3,10.8
1976-12,전북,1.6,-2.8,6.8
1977-01,전북,-4.5,-8.8,0.2
1977-02,전북,-1.2,-6.6,4.7
1977-03,전북,6,0.7,12
1977-04,전북,12.8,7.3,18.9
1977-05,전북,16.9,11.5,23.2
1977-06,전북,21.8,17.3,27.8
1977-07,전북,26.7,22.9,31.6
1977-08,전북,24.5,20.2,29.5
1977-09,전북,21.8,17.1,27.6
1977-10,전북,16.1,9.6,23.9
1977-11,전북,8.1,3.4,13.4
1977-12,전북,3.9,-0.8,9.6
1978-01,전북,0,-4.4,4.6
1978-02,전북,-0.5,-5.1,4.8
1978-03,전북,4.7,-0.8,10.9
1978-04,전북,12.4,5.7,19.8
1978-05,전북,18,10.7,25.9
1978-06,전북,22.1,17.5,27.4
1978-07,전북,27.9,23.9,32.6
1978-08,전북,26.7,22.9,31.7
1978-09,전북,21,16.2,26.6
1978-10,전북,14.6,8.7,21.4
1978-11,전북,8.1,3.3,13.5
1978-12,전북,3,-1.8,8.5
1979-01,전북,2.7,-1.8,7.4
1979-02,전북,2.7,-1.7,7.9
1979-03,전북,6.1,0.2,12.6
1979-04,전북,11.4,5.5,17.1
1979-05,전북,16.1,9.9,22.4
1979-06,전북,22.1,18.3,26.5
1979-07,전북,24.8,21.1,29.3
1979-08,전북,25.6,21.5,30.5
1979-09,전북,19.4,14.8,24.9
1979-10,전북,15.1,8.7,22.6
1979-11,전북,6.9,1.9,12.8
1979-12,전북,2.5,-2.3,7.7
1980-01,전북,-0.7,-5.2,3.8
1980-02,전북,-1.5,-6.2,3.6
1980-03,전북,5,0,10.9
1980-04,전북,10.9,5.2,17
1980-05,전북,16.5,10.5,22.8
1980-06,전북,21.5,17.2,26.8
1980-07,전북,23.3,20.3,27.4
1980-08,전북,23,19.6,27.2
1980-09,전북,19.3,13.9,25.4
1980-10,전북,13.2,7.9,19
1980-11,전북,9,3.5,15.4
1980-12,전북,-0.7,-5,3.8
1981-01,전북,-4.6,-10,0.5
1981-02,전북,-0.2,-4.8,4.6
1981-03,전북,6.1,0.1,13.2
1981-04,전북,11.5,5.3,18.2
1981-05,전북,17.1,10.6,23.4
1981-06,전북,21.6,16.4,27.3
1981-07,전북,26.3,22.3,30.9
1981-08,전북,24.8,20.5,29.7
1981-09,전북,19.9,15.1,25.9
1981-10,전북,13.4,8.3,19.4
1981-11,전북,4.5,0.2,9.5
1981-12,전북,0.9,-4,6.3
1982-01,전북,-1.5,-6,3.4
1982-02,전북,0.6,-4,6.5
1982-03,전북,5.8,0.4,11.8
1982-04,전북,11.4,5.6,18.1
1982-05,전북,18.8,12.8,25.3
1982-06,전북,21.5,16.3,27.7
1982-07,전북,24.7,20.4,30
1982-08,전북,25.7,22.1,30.1
1982-09,전북,20,14.9,26.1
1982-10,전북,15.4,10,22.2
1982-11,전북,9.1,4.8,14.1
1982-12,전북,2.1,-2,7
1983-01,전북,-0.8,-5.1,4.5
1983-02,전북,-0.8,-5.2,3.8
1983-03,전북,6.6,1.6,12.2
1983-04,전북,13.3,7.4,19.8
1983-05,전북,17.8,11.9,24.1
1983-06,전북,21.8,16.6,27.8
1983-07,전북,24.5,21,28.5
1983-08,전북,26.3,22.5,31.1
1983-09,전북,22.4,18.2,27.2
1983-10,전북,14.7,9.9,20.4
1983-11,전북,7.3,2.6,12.9
1983-12,전북,0.5,-4.3,5.4
1984-01,전북,-3.3,-7.9,1.7
1984-02,전북,-2.1,-6.8,3.2
1984-03,전북,3.8,-1.5,9.6
1984-04,전북,12.3,6.3,18.9
1984-05,전북,17.9,11.9,24.5
1984-06,전북,22.6,18,27.9
1984-07,전북,25.7,22,30.1
1984-08,전북,27.1,22.9,32.4
1984-09,전북,20.3,15.6,26.1
1984-10,전북,14.1,7.8,20.8
1984-11,전북,8.3,2.8,14.6
1984-12,전북,1.3,-2.9,5.9
1985-01,전북,-3.1,-8.2,2
1985-02,전북,1.3,-2.7,5.8
1985-03,전북,4.7,-0.1,10.3
1985-04,전북,12,5.5,19.4
1985-05,전북,18.4,12.8,24.3
1985-06,전북,21.7,17.3,27.2
1985-07,전북,25.7,22,30.3
1985-08,전북,26.8,22.7,31.8
1985-09,전북,21.3,17.3,26
1985-10,전북,15.1,10.4,20.2
1985-11,전북,7.8,3.7,12.1
1985-12,전북,-0.7,-5.2,3.8
1986-01,전북,-2.8,-7.4,2.3
1986-02,전북,-1.5,-5.9,3.3
1986-03,전북,5.2,0.3,11.5
1986-04,전북,11.9,5.6,19
1986-05,전북,16.7,11.1,22.8
1986-06,전북,21.8,17.6,26.7
1986-07,전북,24.1,20.7,28.2
1986-08,전북,25.5,21.1,30.5
1986-09,전북,19.5,15.1,24.7
1986-10,전북,13.2,8.1,19.1
1986-11,전북,6.6,1.5,12.4
1986-12,전북,3.5,-0.7,8.3
1987-01,전북,-0.4,-4.4,4
1987-02,전북,1.6,-2.6,6.6
1987-03,전북,4.7,0,10.1
1987-04,전북,10.9,4.8,17.7
1987-05,전북,16.9,11.2,23.2
1987-06,전북,21.9,16.9,27.6
1987-07,전북,24.2,20.9,27.9
1987-08,전북,25.2,21.7,29.8
1987-09,전북,19.8,14.8,25.8
1987-10,전북,15.5,10.1,22.3
1987-11,전북,8.4,3.1,14.5
1987-12,전북,2.5,-2.3,8.2
1988-01,전북,0,-4.6,4.7
1988-02,전북,-0.2,-5,5.3
1988-03,전북,4.3,-0.7,10.2
1988-04,전북,11.3,4.7,18.3
1988-05,전북,17.5,11.7,24.1
1988-06,전북,22.2,17.7,27.6
1988-07,전북,26.2,22.7,30.9
1988-08,전북,25.9,21.4,31.5
1988-09,전북,21.1,15.9,27.3
1988-10,전북,15,8.9,22.2
1988-11,전북,6.7,1.1,13
1988-12,전북,1.9,-2.3,7.1
1989-01,전북,1.6,-2,5.7
1989-02,전북,3.1,-1.3,8.1
1989-03,전북,6.3,0.8,12.4
1989-04,전북,13.4,6.8,20.8
1989-05,전북,17.8,12.3,24.3
1989-06,전북,20.9,16.2,26.1
1989-07,전북,24.8,21.2,29.5
1989-08,전북,25.4,21.2,30.5
1989-09,전북,20.9,16.6,26.2
1989-10,전북,14,7.9,21.1
1989-11,전북,8.1,3.9,13.2
1989-12,전북,3,-1.1,7.9
1990-01,전북,-0.8,-5,4.2
1990-02,전북,3.2,-0.7,7.8
1990-03,전북,7.1,2.3,12.9
1990-04,전북,11.4,5.9,17.5
1990-05,전북,16.9,12.2,22.3
1990-06,전북,22.3,18.2,27.2
1990-07,전북,26.4,23,31.1
1990-08,전북,26.9,22.7,32.7
1990-09,전북,21.9,17.5,27.5
1990-10,전북,14.9,9.1,22
1990-11,전북,10.5,5.5,16.7
1990-12,전북,2.8,-1.3,8.2
1991-01,전북,-0.1,-4.2,4.9
1991-02,전북,0,-4.4,5
1991-03,전북,5.3,0.7,11.2
1991-04,전북,11.9,5.5,19.4
1991-05,전북,17.5,11.8,23.7
1991-06,전북,22.3,18,27.4
1991-07,전북,25.2,22.2,29.1
1991-08,전북,24.7,21,29.6
1991-09,전북,21.1,17,26.1
1991-10,전북,13.8,7.9,20.7
1991-11,전북,7,1.7,13.6
1991-12,전북,3.5,-1,9
1992-01,전북,1.2,-2.3,5.9
1992-02,전북,1.7,-2.8,7.2
1992-03,전북,7,2.5,12.9
1992-04,전북,11.9,5.9,19
1992-05,전북,16.4,10.9,22.7
1992-06,전북,20.8,15.6,26.4
1992-07,전북,25.8,22.1,30.6
1992-08,전북,25.4,21.5,30.1
1992-09,전북,20.6,16.1,25.5
1992-10,전북,14,8.6,20.1
1992-11,전북,7,2,13.2
1992-12,전북,3.2,-1.1,7.9
1993-01,전북,-1.2,-5.4,3.1
1993-02,전북,1.9,-2.6,7.2
1993-03,전북,5.4,0.2,11.6
1993-04,전북,11.1,5.3,17.6
1993-05,전북,17.2,11.7,23.5
1993-06,전북,21.2,17,26.3
1993-07,전북,23.4,19.9,27.8
1993-08,전북,22.9,19.4,27.1
1993-09,전북,20.7,15.5,26.4
